

"DOTA_Tooltip_ability_first_test"	"英雄技能-初阶"





"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak"	"低阶埃斯瑞克之魂"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Description"	"天空之龙的灵魂赋予你的召唤物一定的属性提升。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Lore"	"火龙斯莱瑞克，土龙乌尔德瑞克，水龙里瑞克，天空龙艾斯瑞克对应着四大元素，象征着火，土，冰，雷。天空古龙的灵魂将赋予其眷属强大的能力。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_radius"	"作用范围："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_life_steal"	"%攻击伤害吸血："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_life_steal_constant"	"攻击伤害吸血："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_attack_speed"	"攻击速度加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_move_speed"	"移动速度加成："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak"	"中阶埃斯瑞克之魂"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Description"	"天空之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【雷霆】召唤物的攻击有10%%引发雷霆，对目标造成召唤物攻击力100%%的伤害（视为施法者的伤害，拥有2秒内置冷却）"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Lore"	"天空的霸权者掌握着雷电之力，天空之龙也分享着这一神力。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_bonus_attack_speed"	"攻击速度加成："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_bonus_move_speed"	"移动速度加成："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak"	"高阶埃斯瑞克之魂"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Description"	"天空之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【雷霆】召唤物的攻击有10%%引发雷霆，对目标造成召唤物攻击力100%%的伤害（视为施法者的伤害，拥有2秒内置冷却）<br><br>【元素之力】模糊身形，有20%%几率可以免疫任何伤害（除非这个伤害致死）"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Lore"	"四大基础元素中，火象征着攻击，土象征着防御，冰象征着负面，雷象征着正面，天空的力量将使其眷属获得驱散死亡的能力。"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。<br>'雷霆'的伤害在0.5秒后结算"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_bonus_attack_speed"	"攻击速度加成："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_bonus_move_speed"	"移动速度加成："









"DOTA_Tooltip_ability_Primary_summon_healing_ward"	"低阶召唤·意志图腾"
"DOTA_Tooltip_ability_Primary_summon_healing_ward_Description"	"召唤意志图腾，以%interval%秒的间隔治疗%radius%范围内的其他友军。\n<font color=\"#606060\">治疗守卫无法控制，且具有低攻击优先级。</font>"
"DOTA_Tooltip_ability_Primary_summon_healing_ward_Lore"	"治疗伤口时加上一段巫毒法术往往会很有效。"
"DOTA_Tooltip_ability_Primary_summon_healing_ward_Note0"	"额外的说明：<br>治疗来源视为召唤者。<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Primary_summon_healing_ward_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Primary_summon_healing_ward_duration"	"存续时间："
"DOTA_Tooltip_ability_Primary_summon_healing_ward_heal"	"基础治疗："
"DOTA_Tooltip_ability_Primary_summon_healing_ward_hp_heal"	"%单位最大生命值治疗："


"DOTA_Tooltip_ability_Middle_summon_healing_ward"	"中阶召唤·意志图腾"
"DOTA_Tooltip_ability_Middle_summon_healing_ward_Description"	"召唤意志图腾，以%interval%秒的间隔治疗%radius%范围内的其他友军。<br><br>【大地的意志】意志图腾会提供%bonus_armor%点护甲和%bonus_magic_res%% 魔法抗性。最左侧技能为<font color=\"#FFB90F\">[乌尔德瑞克之魂]</font>时，额外提供%incoming_down%% 伤害减免。\n<font color=\"#606060\">意志图腾无法控制，且具有低攻击优先级；<br>[乌尔德瑞克之魂]每高阶等级提供激活0.5%%伤害减免。</font>"
"DOTA_Tooltip_ability_Middle_summon_healing_ward_Lore"	"图腾的魔力将专注一个目标，在激烈的战斗中将其保护下来。"
"DOTA_Tooltip_ability_Middle_summon_healing_ward_Note0"	"额外的说明：<br>治疗来源视为召唤者。<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Middle_summon_healing_ward_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Middle_summon_healing_ward_duration"	"存续时间："
"DOTA_Tooltip_ability_Middle_summon_healing_ward_heal"	"基础治疗："
"DOTA_Tooltip_ability_Middle_summon_healing_ward_hp_heal"	"%单位最大生命值治疗："
"DOTA_Tooltip_modifier_Middle_summon_healing_ward_extra_earth"	"大地的意志"

"DOTA_Tooltip_ability_Advanced_summon_healing_ward"	"高阶召唤·意志图腾"
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_Description"	"召唤意志图腾，以%interval%秒的间隔治疗%radius%范围内的其他友军。<br><br>【大地的意志】意志图腾会提供%bonus_armor%点护甲和%bonus_magic_res%% 魔法抗性。最左侧技能为<font color=\"#FFB90F\">[乌尔德瑞克之魂]</font>时，额外提供%incoming_down%% 伤害减免。<br><br>【激流的意志】意志图腾会提供%hp_regen%% 最大生命值生命恢复。最左侧技能为<font color=\"#1E90FF\">[里瑞克之魂]</font>时，额外提供%heal_amp%% 治疗增强。\n<font color=\"#606060\">意志图腾无法控制，且具有低攻击优先级；<br>[乌尔德瑞克之魂]每高阶等级提供激活0.5%%伤害减免；<br>[里瑞克之魂]每高阶等级提供激活2%%治疗增强；<br>[斯莱瑞克之魂]每高阶等级提供激活0.5%%伤害增加；<br>[埃斯瑞克之魂]每高阶等级提供激活1%%攻速和0.2%%冷却。</font>"
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_Lore"	"如果处理溢出的魔力是一个重要的课题，有太多的术士有着大量的魔力，但却因为滥用而死在了战场上。"
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_Note0"	"额外的说明：<br>治疗来源视为召唤者。<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_duration"	"存续时间："
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_heal"	"基础治疗："
"DOTA_Tooltip_ability_Advanced_summon_healing_ward_hp_heal"	"%单位最大生命值治疗："
"DOTA_Tooltip_modifier_Advanced_summon_healing_ward_extra_earth"	"大地的意志"
"DOTA_Tooltip_modifier_Advanced_summon_healing_ward_extra_water"	"激流的意志"
"DOTA_Tooltip_modifier_Advanced_summon_healing_ward_extra_fire"	"赤焰的意志"
"DOTA_Tooltip_modifier_Advanced_summon_healing_ward_extra_storm"	"风暴的意志"



"DOTA_Tooltip_ability_Primary_summon_earth_element"	"低阶召唤元素·土元素"
"DOTA_Tooltip_ability_Primary_summon_earth_element_Description"	"将魔力注入大地之中，创造出具有强大力量的土元素。土元素拥有较高的初始防御与45%%魔法抗性。"
"DOTA_Tooltip_ability_Primary_summon_earth_element_Lore"	"大地为世界的基盘，当魔力汇聚时，元素之力将从中诞生。"
"DOTA_Tooltip_ability_Primary_summon_earth_element_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。<br><br>"
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Primary_summon_earth_element_duration"	"存续时间："
"DOTA_Tooltip_ability_Primary_summon_earth_element_basic_armor"	"初始护甲："

"DOTA_Tooltip_ability_Middle_summon_earth_element"	"中阶召唤元素·土元素"
"DOTA_Tooltip_ability_Middle_summon_earth_element_Description"	"将魔力注入大地之中，创造出具有强大力量的土元素。土元素拥有较高的初始防御与45%%魔法抗性。<br><br>【大地之墙】土元素获得光环效果，可以使周围500范围友军获得7点护甲加成，可以多重叠加。"
"DOTA_Tooltip_ability_Middle_summon_earth_element_Lore"	"大地为世界的基盘，当魔力汇聚时，元素之力将从中诞生。大地的基石将汇聚成一体形成铜墙铁壁。"
"DOTA_Tooltip_ability_Middle_summon_earth_element_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。<br><br>"
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Middle_summon_earth_element_basic_armor"	"初始护甲："
"DOTA_Tooltip_ability_Middle_summon_earth_element_duration"	"存续时间："
"DOTA_Tooltip_ability_Advanced_summon_earth_element"	"高阶召唤元素·土元素"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Description"	"将魔力注入大地之中，创造出具有强大力量的土元素。土元素拥有较高的初始防御与45%%魔法抗性。<br><br>【大地之墙】土元素获得光环效果，可以使周围500范围友军获得7点护甲加成，可以多重叠加。<br><br>【硬化】土元素300距离内攻击土元素的敌人有10%%几率被眩晕1秒并受到召唤者力量*1.5的物理伤害。"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Lore"	"大地为世界的基盘，当魔力汇聚时，元素之力将从中诞生。大地的基石将汇聚成一体形成铜墙铁壁，而当有不识好歹的人来攻击，他们将受到反冲而死。"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。<br><br>"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Advanced_summon_earth_element_basic_armor"	"初始护甲："
"DOTA_Tooltip_ability_Advanced_summon_earth_element_duration"	"存续时间："


"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper"	"低阶召唤不死者·开膛手杰克"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Description"	"从死者的世界召唤出那名令人闻风丧胆的杀手。开膛手杰克具有10%%的伤害吸血能力。"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Lore"	"秽土转生。"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_basic_armor"	"初始护甲："
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_duration"	"存续时间："
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper"	"中阶召唤不死者·开膛手杰克"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Description"	"从死者的世界召唤出那名令人闻风丧胆的杀手。开膛手杰克具有10%%的伤害吸血能力。<br><br>【血液渴望】攻击目标时获得(100-目标当前生命值百分比*100)%%的攻击速度。"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Lore"	"开膛手对鲜血十分敏感，对于那些濒临死亡的人更能激发他的兽性。"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_duration"	"存续时间："
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper"	"高阶召唤不死者·开膛手杰克"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Description"	"从死者的世界召唤出那名令人闻风丧胆的杀手。开膛手杰克具有10%%的伤害吸血能力。<br><br>【血液渴望】攻击目标时获得(100-目标当前生命值百分比*100)%%的攻击速度。<br><br>【嗜血】当吸血数值每达到全额攻击力的70%%时，将增加5%%的攻击力，可以累计至100%%。"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Lore"	"开膛手在沐浴鲜血之时变得更加狂暴，更加致命。"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Note0"	"属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_duration"	"存续时间："



"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak"	"低阶瓦德瑞克之魂"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Description"	"混沌之龙的灵魂赋予你的召唤物一定的属性提升。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Lore"	"光明龙欧瑞克，混沌龙瓦德瑞克，虚空龙比斯瑞克，离子龙因德瑞克对应着四大法则，光明，混沌，虚空，离子。混沌古龙的灵魂将赋予其眷属强大的能力。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_attack_speed"	"攻击速度加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_move_speed"	"移动速度加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%最小攻击力加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%最大攻击力加成："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak"	"中阶瓦德瑞克之魂"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Description"	"混沌之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【混沌一击】召唤物的攻击可以触发一次致命一击，造成120%%-220%%的伤害，内置3秒冷却。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Lore"	"混沌，来源于秩序的对立面，秩序之力越强，混沌之力则越强。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%最大攻击力加成："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%最小攻击力加成："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak"	"高阶瓦德瑞克之魂"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Description"	"混沌之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【混沌一击】召唤物的攻击可以触发一次致命一击，造成120%%-220%%的伤害，内置3秒冷却。<br><br>【以血回应，以火回应】召唤物的攻击有7%%几率对目标造成召唤物当前生命值10%%的物理伤害。"
// What has been created， at times， must be destroyed. What is desrroyed will rise and fall and rise again! All flailing arms， birth screams， and mother's blood.
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Lore"	"被创造之物有时也必须被摧毁，被摧毁之物，则将会崛起并崛起并再次崛起，挥舞着的双手，分娩般的哭叫，以及母亲的血。"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%最大攻击力加成："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%最小攻击力加成："


"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak"	"低阶乌尔德瑞克之魂"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Description"	"大地之龙的灵魂赋予你的召唤物一定的属性提升。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Lore"	"火龙斯莱瑞克，土龙乌尔德瑞克，水龙里瑞克，天空龙艾斯瑞克对应着四大元素，象征着火，土，冰，雷。大地古龙的灵魂将赋予其眷属强大的能力。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_damage_max"	"%最大攻击力加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_damage_min"	"%最小攻击力加成："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_armor"	"防御提升："
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_magic_res"	"%魔法抗性提升："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak"	"中阶乌尔德瑞克之魂"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Description"	"大地之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【唤醒】痛苦将唤醒召唤物的防御，每当召唤物受到最大生命值10%%的伤害时可以获得额外1点护甲提升与0.5%%魔法抗性提升（最多20次）"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Lore"	"吾等已准备好直面死亡，在死亡之后，吾等将重生于大地，崛起于新生。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_bonus_armor"	"防御提升："
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_bonus_magic_res"	"%魔法抗性提升："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak"	"高阶乌尔德瑞克之魂"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Description"	"大地之龙的灵魂赋予你的召唤物一定的属性提升。<br><br>【唤醒】痛苦将唤醒召唤物的防御，每当召唤物受到最大生命值10%%的伤害时可以获得额外1点护甲提升与0.5%%魔法抗性提升（最多20次）<br><br>【时间锁定】召唤物受到大于50的伤害时，有10%%几率记录当前生命值，在此后的5秒内生命值不会低于这个值的70%%。（当状态生效时不会再次触发）"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Lore"	"乌尔德瑞既是大地之龙，又为时间之龙，可以自由自在的操控时间。"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Note0"	"额外的说明：<br>召唤物出现后将为其添加一个状态。"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_bonus_armor"	"防御提升："
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_bonus_magic_res"	"%魔法抗性提升："



"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest"	"低阶召唤守卫·大聪明阿哈利姆"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Description"	"召唤出聪明绝顶的大聪明。大聪明将为周围的友军英雄提供增益效果。"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Lore"	"大家来是说这个小家伙聪明或者睿智，他真的老开心了。"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Note0"	"<br>额外的说明：<br>大聪明的攻击力为阶梯式，超过200的值取70%%，超过300的值取50%%，超过500的值取10%%。<br>不同的大聪明提供的增益可以叠加。<<br>属性继承类型：<br>母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_armor"	"%护甲继承："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_duration"	"存续时间："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_int_index"	"%攻击力转换智力："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%攻击力转换技能伤害："
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_radius"	"作用范围："

"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest"	"中阶召唤守卫·大聪明阿哈利姆"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Description"	"召唤出聪明绝顶的大聪明。大聪明将为周围的友军英雄提供增益效果。<br><br>【睿智】每0.5秒为范围内所有友军恢复攻击力25%%的魔法值。"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Lore"	"大聪明的才智为他的友军提供了恢复能力。"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Note0"	"<br>额外的说明：<br>大聪明的攻击力为阶梯式，超过200的值取70%%，超过300的值取50%%，超过500的值取10%%。<br>不同的大聪明提供的增益可以叠加。<<br>属性继承类型：<br>母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%攻击力转换技能伤害："
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_radius"	"作用范围："
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_duration"	"存续时间："
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest"	"高阶召唤守卫·大聪明阿哈利姆"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Description"	"召唤出聪明绝顶的大聪明。大聪明将为周围的友军英雄提供增益效果。<br><br>【睿智】每0.5秒为范围内所有友军恢复攻击力25%%的魔法值。<br><br>【大聪明的施法赐福】额外提供10%%的正面状态持续时间增强与负面状态持续时间增强。"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Lore"	"只有聪明绝顶之人才能理解何时切入最重要。"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Note0"	"<br>额外的说明：<br>大聪明的攻击力为阶梯式，超过200的值取70%%，超过300的值取50%%，超过500的值取10%%。<br>不同的大聪明提供的增益可以叠加。<<br>属性继承类型：<br>母体继承<br>此类继承方式加成来自施法者的属性。<br>受到召唤强度与召唤时间增强影响。"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%攻击力继承："
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%攻击力转换技能伤害："
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_radius"	"作用范围："
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_duration"	"存续时间："


"DOTA_Tooltip_ability_Primary_Rot"	"低阶腐烂"
"DOTA_Tooltip_ability_Primary_Rot_Description"	"创造出能够造成持续伤害并减缓敌人移动速度的毒性云雾——同时对敌军与自己造成基于自身最大生命值的伤害。"
"DOTA_Tooltip_ability_Primary_Rot_Lore"	"从尸体腐烂肿胀的肉体中放出的有毒气体，气味恶心的令人窒息。"
"DOTA_Tooltip_ability_Primary_Rot_Note0"	"额外的说明：<br>对自身伤害不致死，不受技能伤害影响。"
"DOTA_Tooltip_ability_Primary_Rot_bonus_damage"	"%伤害生命值百分比："
"DOTA_Tooltip_ability_Primary_Rot_bonus_health"	"%生命值继承："
"DOTA_Tooltip_ability_Primary_Rot_bonus_spell_damage_index"	"%攻击力转换技能伤害："
"DOTA_Tooltip_ability_Primary_Rot_radius"	"作用范围："
"DOTA_Tooltip_ability_Primary_Rot_duration"	"存续时间："
"DOTA_Tooltip_ability_Primary_Rot_move_slow"	"移动速度减缓："
"DOTA_Tooltip_ability_Middle_Rot"	"中阶腐烂"
"DOTA_Tooltip_ability_Middle_Rot_Description"	"创造出能够造成持续伤害并减缓敌人移动速度的毒性云雾——同时对敌军与自己造成基于自身最大生命值的伤害。<br><br>【致命气息】影响范围增加150点"
"DOTA_Tooltip_ability_Middle_Rot_Lore"	"恶性的气味随着风传播的更远了。"
"DOTA_Tooltip_ability_Middle_Rot_Note0"	"额外的说明：<br>对自身伤害不致死，不受技能伤害影响。"
"DOTA_Tooltip_ability_Middle_Rot_bonus_damage"	"%伤害生命值百分比："
"DOTA_Tooltip_ability_Middle_Rot_move_slow"	"移动速度减缓："
"DOTA_Tooltip_ability_Middle_Rot_radius"	"作用范围："
"DOTA_Tooltip_ability_Advanced_Rot"	"高阶腐烂"
"DOTA_Tooltip_ability_Advanced_Rot_Description"	"创造出能够造成持续伤害并减缓敌人移动速度的毒性云雾——同时对敌军与自己造成基于自身最大生命值的伤害。<br><br>【致命气息】影响范围增加150点<br><br>【尸体爆炸者】受腐烂效果影响的怪物在死亡后会进行一次爆炸，对150范围内敌方单位造成施法者生命值10%%的魔法伤害"
"DOTA_Tooltip_ability_Advanced_Rot_Lore"	"肿胀，流脓，腐败。"
"DOTA_Tooltip_ability_Advanced_Rot_Note0"	"额外的说明：<br>对自身伤害不致死，不受技能伤害影响。"
"DOTA_Tooltip_ability_Advanced_Rot_bonus_damage"	"%伤害生命值百分比："
