"DOTA_Tooltip_modifier_hd_cleave_damage"                   "分裂伤害"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_2_effect_Description"                   "增加%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_bloodseeker_2_effect"                   "焦渴嗜血"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_bloodseeker_2_effect_Description"                   "增加%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻击速度与%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%移动速度"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lich_2_debuff"                   "连环霜冻"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lich_2_debuff_Description"                   "大幅度减缓移动速度"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_2"                   "侧面机枪·改"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_2_Description"       "赋予额外攻击效果" 







"DOTA_Tooltip_modifier_Advanced_lucent_beam_lv15"                   "月华"
"DOTA_Tooltip_modifier_Advanced_lucent_beam_lv15_Description"       "攻击力提升%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%" 



"DOTA_Tooltip_modifier_Advanced_lucent_beam_unlock1_trigger"                   "月蚀"
"DOTA_Tooltip_modifier_Advanced_lucent_beam_unlock1_trigger_Description"       "持续召唤月光" 

"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Slyrak_effect"                   "低阶斯莱瑞克之魂"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Slyrak_effect_Description"       "攻击力提升%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>攻击速度提升%fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">防御力减少%fMODIFIER_PROPERTY_TOOLTIP%</font>" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_effect"                   "中阶斯莱瑞克之魂"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_effect_Description"       "攻击力提升%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>攻击速度提升%fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">防御力减少%fMODIFIER_PROPERTY_TOOLTIP%</font>" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect"                   "高阶斯莱瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_Description"       "攻击力提升%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>攻击速度提升%fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">防御力减少%fMODIFIER_PROPERTY_TOOLTIP%</font>" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_over_lv15"                   "高阶斯莱瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_over_lv15_Description"       "攻击力提升%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>攻击速度提升%fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">防御力减少%fMODIFIER_PROPERTY_TOOLTIP%</font>" 


"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_debuff"                   "愤怒之火"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_debuff_Description"       "防御力减少%fMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_debuff"                   "愤怒之火"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_debuff_Description"       "防御力减少%fMODIFIER_PROPERTY_TOOLTIP%" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_unlock2_debuff"                   "始源吐息"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_unlock2_debuff_Description"       "全额攻击力减少%fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%" 



"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_heal"                   "巫毒疗法"
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_heal_debuff_Description"       "受到治疗中" 
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_unlock3"                   "冷酒"
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_unlock3_Description"       "你已不惧任何不造成即死的伤害" 


"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock1"                   "神蚀者"
"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock1_Description"       "提升%fMODIFIER_PROPERTY_EXTRA_MANA_PERCENTAGE%%%最大魔法值" 

"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock2"                   "星体之能"
"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock2_Description"       "提升%fMODIFIER_PROPERTY_MANA_BONUS%最大魔法值" 


"DOTA_Tooltip_modifier_creeps_spell_time_dilation_debuff"                   "时间膨胀"
"DOTA_Tooltip_modifier_creeps_spell_time_dilation_debuff_Description"       "你的时间流逝变得十分缓慢" 

"DOTA_Tooltip_modifier_creeps_spell_Chronosphere_debuff"                   "时间结界"
"DOTA_Tooltip_modifier_creeps_spell_Chronosphere_debuff_Description"       "感受无力吧" 
"DOTA_Tooltip_modifier_creeps_spell_Wave51_debuff"                   "时间结界"
"DOTA_Tooltip_modifier_creeps_spell_Wave51_debuff_Description"       "感受无力吧" 

"DOTA_Tooltip_modifier_creeps_spell_Wave51_form3_debuff"                   "时间反噬"
"DOTA_Tooltip_modifier_creeps_spell_Wave51_form3_debuff_Description"       "减少了护甲与魔法抗性" 

"DOTA_Tooltip_modifier_Advanced_summon_water_element_buff_unlock3"                   "海洋之心"
"DOTA_Tooltip_modifier_Advanced_summon_water_element_buff_unlock3_Description"       "吸收周围友方英雄的魔力……" 

"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_unlock1"                   "猩红腐败者"
"DOTA_Tooltip_modifier_Advanced_summons_undead_jack_the_ripper_unlock1_Description"       "增加%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%点攻击速度" 




"DOTA_Tooltip_modifier_Advanced_Rot_unlock1_debuff"                   "恶性肿瘤"
"DOTA_Tooltip_modifier_Advanced_Rot_unlock1_debuff_Description"       "持续性受到腐烂的伤害" 

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_unlock"                   "贪欲与无欲"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_pudge_unlock_Description"       "赋予力量增强" 


"DOTA_Tooltip_modifier_Advanced_fear_arua_unlock1_debuff"                   "黑馆"
"DOTA_Tooltip_modifier_Advanced_fear_arua_unlock1_debuff_Description"       "求求你杀了我吧……" 

"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_unlock2_effect"                   "恐怖公"
"DOTA_Tooltip_modifier_Advanced_hyakkiyakou_unlock2_effect_Description"       "该眷属受到了加成效果影响" 


"DOTA_Tooltip_modifier_Advanced_water_prison_unlock3_buff"                   "吸能天牢"
"DOTA_Tooltip_modifier_Advanced_water_prison_unlock3_buff_Description"       "生命值提升：%dMODIFIER_PROPERTY_HEALTH_BONUS%<br>魔法值提升：%dMODIFIER_PROPERTY_MANA_BONUS%" 



"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_rubick_2"                   "魔导的极致"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_rubick_2_Description"       "大幅度提升技能效果" 


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_2_Upgrade"                   "叠浪"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_2_Upgrade_Description"       "赋予攻击速度与移动速度加成" 





"DOTA_Tooltip_modifier_Primary_fiery_soul"                   "初阶炽魂"
"DOTA_Tooltip_modifier_Primary_fiery_soul_Description"       "赋予攻击速度与移动速度加成" 
"DOTA_Tooltip_modifier_Middle_fiery_soul"                   "中阶炽魂"
"DOTA_Tooltip_modifier_Middle_fiery_soul_Description"       "赋予攻击速度与移动速度加成" 
"DOTA_Tooltip_modifier_Advanced_fiery_soul"                   "高阶炽魂"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_Description"       "赋予攻击速度与移动速度加成" 



"DOTA_Tooltip_modifier_Middle_fiery_soul_active"                   "烈焰之息"
"DOTA_Tooltip_modifier_Middle_fiery_soul_active_Description"       "赋予魔法伤害大幅度提升" 
"DOTA_Tooltip_modifier_Advanced_fiery_soul_active"                   "烈焰之息"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_active_Description"       "赋予魔法伤害大幅度提升" 


"DOTA_Tooltip_modifier_Advanced_fiery_soul_unlock3"                   "绝对时间"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_unlock3_Description"       "大幅度提升全属性，施法距离与技能伤害" 


"DOTA_Tooltip_modifier_Primary_reverse_polarity_debuff"                   "初阶两极反转"
"DOTA_Tooltip_modifier_Primary_reverse_polarity_debuff_Description"       "受到额外%dMODIFIER_PROPERTY_TOOLTIP%%%伤害" 

"DOTA_Tooltip_modifier_Middle_reverse_polarity_debuff"                   "中阶两极反转"
"DOTA_Tooltip_modifier_Middle_reverse_polarity_debuff_Description"       "受到额外%dMODIFIER_PROPERTY_TOOLTIP%%%伤害,减少%dMODIFIER_PROPERTY_TOOLTIP%点护甲，减少%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%魔法抗性" 
"DOTA_Tooltip_modifier_Advanced_reverse_polarity_debuff"                   "高阶两极反转"
"DOTA_Tooltip_modifier_Advanced_reverse_polarity_debuff_Description"       "受到额外%dMODIFIER_PROPERTY_TOOLTIP%%%伤害,减少%dMODIFIER_PROPERTY_TOOLTIP%点护甲，减少%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%魔法抗性" 




"DOTA_Tooltip_modifier_Advanced_reverse_polarity_unlock1"                   "世界重铸"

"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2"                   "崩坏"
"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2_Description"                   "减少%dMODIFIER_PROPERTY_TOOLTIP%护甲"


"DOTA_Tooltip_modifier_Primary_onslaught_charge"                   "突"
"DOTA_Tooltip_modifier_Primary_onslaught_charge_Description"                   "蓄力中"
"DOTA_Tooltip_modifier_Middle_onslaught_charge"                   "突"
"DOTA_Tooltip_modifier_Middle_onslaught_charge_Description"                   "蓄力中"
"DOTA_Tooltip_modifier_Advanced_onslaught_charge"                   "突"
"DOTA_Tooltip_modifier_Advanced_onslaught_charge_Description"                   "蓄力中"


"DOTA_Tooltip_modifier_Middle_onslaught_debuff"                   "破阵"
"DOTA_Tooltip_modifier_Middle_onslaught_debuff_Description"                   "减少%dMODIFIER_PROPERTY_TOOLTIP%护甲"
"DOTA_Tooltip_modifier_Advanced_onslaught_debuff"                   "破阵"
"DOTA_Tooltip_modifier_Advanced_onslaught_debuff_Description"                   "减少%dMODIFIER_PROPERTY_TOOLTIP%护甲"

"DOTA_Tooltip_modifier_Advanced_arcane_bolt_buff"                   "奥法之辉"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_buff_Description"                   "提升%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%智力"

"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff"                   "奥法印记"


"DOTA_Tooltip_modifier_item_hd_Song_of_Eagle_Voice_of_Dragonus_buff"                   "鹰之歌"
"DOTA_Tooltip_modifier_item_hd_Song_of_Eagle_Voice_of_Dragonus_buff_Description"                   "提升%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%技能伤害"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff_unlock3"                   "鹰之歌·奥法封印"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff_unlock3_Description"                   "减少%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%魔法抗性"

"DOTA_Tooltip_modifier_Slime_buff_unlock1_count"                   "孕育点数"
"DOTA_Tooltip_modifier_Slime_buff_unlock2_debuff"                   "消化"
"DOTA_Tooltip_modifier_Slime_buff_unlock2_debuff_Description"                   "减少%dMODIFIER_PROPERTY_TOOLTIP%点防御力"

"DOTA_Tooltip_modifier_Advanced_assassinate_unlock3"                   "弹药仓库"
"DOTA_Tooltip_modifier_Advanced_assassinate_unlock3_Description"                   "离子弹药库"


"DOTA_Tooltip_modifier_Advanced_finger_of_death_unlock2"                   "暂存法力"

"DOTA_Tooltip_modifier_Advanced_finger_of_death_unlock3"                   "阿兹斯的魔手"





"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock1_debuff"                   "海洋刻印·侵蚀"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock1_debuff_Description"                   "额外受到%fMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%%物理伤害"

"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock3_active"                   "苍洋魔咒"

"DOTA_Tooltip_modifier_item_hd_infernal_menace_buff"                   "尸横遍野"
"DOTA_Tooltip_modifier_item_hd_infernal_menace_buff_Description"                   "提升%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%点力量"

"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock2_debuff"                   "恐惧的化身"
"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock2_debuff_Description"                   "每受到%dMODIFIER_PROPERTY_TOOLTIP%次伤害后将受到一次蚀脑作用"


"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock3_debuff"                   "恐惧侵袭"
"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock3_debuff_Description"                   "额外受到%dMODIFIER_PROPERTY_TOOLTIP%%%伤害,造成伤害减少%dMODIFIER_PROPERTY_TOOLTIP%%%"


"DOTA_Tooltip_modifier_Advanced_lunar_blessing_unlock1_buff"                   "指引"
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_unlock1_buff_Description"                   "月之祝福获得全属性加成"



"DOTA_Tooltip_modifier_Advanced_howl_unlock2_debuff"                   "痛苦回音恐慌"
"DOTA_Tooltip_modifier_Advanced_howl_unlock2_debuff_Description"                   "受到额外%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"

"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock2_buff"                   "肉体刺激"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock2_buff_Description"                   "增加%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点攻击力"


"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock3_buff"                   "高阶静电护甲"

"DOTA_Tooltip_modifier_Advanced_chaos_strike_unlock3"                   "混沌制造"

"DOTA_Tooltip_modifier_Advanced_Inner_Beast_unlock2_buff"                   "移魂"
"DOTA_Tooltip_modifier_Advanced_Inner_Beast_unlock2_buff_Description"                   "增加%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点攻击力"




"DOTA_Tooltip_modifier_Advanced_Acid_Sparay_unlock3_effect"                   "柠檬精"
"DOTA_Tooltip_modifier_Advanced_Acid_Sparay_unlock3_effect_Description"                   "受到额外%dMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%%物理伤害"

"DOTA_Tooltip_modifier_Advanced_Caustic_Finale_unlock2_passive"                   "高阶腐尸毒"



"DOTA_Tooltip_modifier_Advanced_Vampiric_Spirit"                   "血之联合"
"DOTA_Tooltip_modifier_Advanced_Vampiric_Spirit_Description"                   "目前储蓄点数"




"DOTA_Tooltip_modifier_Advanced_Void_time_walk_Chronosphere_debuff"                   "时间结界"
"DOTA_Tooltip_modifier_Advanced_Void_time_walk_Chronosphere_debuff_Description"                   "你位于时间泡沫之中"
"DOTA_Tooltip_modifier_Middle_Void_time_walk_Chronosphere_debuff"                   "时间结界"
"DOTA_Tooltip_modifier_Middle_Void_time_walk_Chronosphere_debuff_Description"                   "你位于时间泡沫之中"
"DOTA_Tooltip_modifier_Primary_Void_time_walk_Chronosphere_debuff"                   "时间结界"
"DOTA_Tooltip_modifier_Primary_Void_time_walk_Chronosphere_debuff_Description"                   "你位于时间泡沫之中"



"DOTA_Tooltip_modifier_primary_Holy_light_shield"                   "低价圣光护盾"
"DOTA_Tooltip_modifier_primary_Holy_light_shield_Description"       "赋予伤害抵挡" 

"DOTA_Tooltip_modifier_Middle_Holy_light_shield"                   "中阶圣光护盾"
"DOTA_Tooltip_modifier_Middle_Holy_light_shield_Description"       "赋予伤害抵挡" 

"DOTA_Tooltip_modifier_Advanced_Holy_light_shield"                   "高阶圣光护盾"
"DOTA_Tooltip_modifier_Advanced_Holy_light_shield_Description"       "赋予伤害抵挡" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Byssrak_effect"                   "低阶比斯瑞克之魂"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Byssrak_effect_Description"       "增加%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%全额攻击力，减少%dMODIFIER_PROPERTY_TOOLTIP%%%攻击速度" 



"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Byssrak_effect"                   "中阶比斯瑞克之魂"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Byssrak_effect_Description"       "增加%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%全额攻击力，减少%dMODIFIER_PROPERTY_TOOLTIP%%%攻击速度;<br>累计了%dMODIFIER_PROPERTY_TOOLTIP%%%伤害加成。" 





"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Byssrak_effect"                   "高阶比斯瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Byssrak_effect_Description"       "增加%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%全额攻击力，减少%dMODIFIER_PROPERTY_TOOLTIP%%%攻击速度;<br>累计了%dMODIFIER_PROPERTY_TOOLTIP%%%伤害加成。" 





"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Lirrak_effect"                   "低阶里瑞克之魂"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Lirrak_effect_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%生命恢复与%dMODIFIER_PROPERTY_TOOLTIP%%%攻击距离" 


"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect"                   "中阶里瑞克之魂"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%生命恢复与%dMODIFIER_PROPERTY_TOOLTIP%%%攻击距离" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect"                   "高阶里瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%生命恢复与%dMODIFIER_PROPERTY_TOOLTIP%%%攻击距离" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect2"                   "孕育"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect2_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%%%召唤时间增强" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect2"                   "孕育"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect2_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%%%召唤时间增强" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_debuff"                   "寒冬之吻"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_debuff_Description"       "受到额外%dMODIFIER_PROPERTY_TOOLTIP%%%伤害" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_lv20"                   "鲸落"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_lv20_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%伤害" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_unlock1"                   "里瑞克龙魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_unlock1_Description"       "受到伤害减少%dMODIFIER_PROPERTY_TOOLTIP%%%，受到治疗效果提升%dMODIFIER_PROPERTY_TOOLTIP%%%" 



"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Indrak_effect"                   "低阶因德瑞克之魂"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Indrak_effect_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%攻击速度" 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Indrak_effect"                   "中阶因德瑞克之魂"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Indrak_effect_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%+%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻击速度" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Indrak_effect"                   "高阶因德瑞克之魂"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Indrak_effect_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%+%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻击速度" 





"DOTA_Tooltip_modifier_Primary_Arcane_Replacement"                   "低阶奥斯特的权能·奥法置换"
"DOTA_Tooltip_modifier_Primary_Arcane_Replacement_Description"       "储蓄治疗能量" 
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement"                   "中阶奥斯特的权能·奥法置换"
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_Description"       "储蓄治疗能量" 
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement"                   "高阶奥斯特的权能·奥法置换"
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_Description"       "储蓄治疗能量" 

"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_effect"                   "奥能掌控"
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_effect_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%治疗增强" 
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_effect"                   "奥能掌控"
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_effect_Description"       "提高%dMODIFIER_PROPERTY_TOOLTIP%%%治疗增强" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_damage_effect"                   "雷霆"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_damage_effect_Description"       "延缓伤害" 


"DOTA_Tooltip_modifier_Primary_Haunt_damage"                   "低阶鬼影重重"
"DOTA_Tooltip_modifier_Primary_Haunt_damage_Description"       "延缓伤害" 
"DOTA_Tooltip_modifier_Middle_Haunt_damage"                   "中阶鬼影重重"
"DOTA_Tooltip_modifier_Middle_Haunt_damage_Description"       "延缓伤害" 
"DOTA_Tooltip_modifier_Advanced_Haunt_damage"                   "高阶鬼影重重"
"DOTA_Tooltip_modifier_Advanced_Haunt_damage_Description"       "延缓伤害" 




"DOTA_Tooltip_modifier_Primary_invincible_army_damage"                   "低阶天兵降世"
"DOTA_Tooltip_modifier_Primary_invincible_army_damage_Description"       "延缓伤害" 
"DOTA_Tooltip_modifier_Middle_invincible_army_damage"                   "中阶天兵降世"
"DOTA_Tooltip_modifier_Middle_invincible_army_damage_Description"       "延缓伤害" 
"DOTA_Tooltip_modifier_Advanced_invincible_army_damage"                   "高阶天兵降世"
"DOTA_Tooltip_modifier_Advanced_invincible_army_damage_Description"       "延缓伤害" 




"DOTA_Tooltip_modifier_Middle_frost_arrows_damage_delay"                   "中阶霜冻之箭"
"DOTA_Tooltip_modifier_Middle_frost_arrows_damage_delay_Description"       "延缓伤害" 






"DOTA_Tooltip_modifier_Advanced_double_edge_buff_unlock2"                   "圆舞曲·超越极限"


"DOTA_Tooltip_modifier_knockback"                   "击退"



"DOTA_Tooltip_modifier_item_hd_ancient_living_stone_active"                   "上古活石"


"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_debuff"                   "能量操控"
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_debuff_Description"       "技能伤害减少%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%" 
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_buff"                   "能量操控"
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_buff_Description"       "技能伤害增加%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%" 




