"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"【折射+】折射次数加一"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv25_1"				"【自适应】受到大于最大生命值3%%的伤害时将会把伤害锁在3%%（但不影响即死）"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv25_2"				"【超级活性化】不再具有最大层数限制"
"DOTA_Tooltip_ability_Advanced_reactive_armor_note_lv25_3"				"【反活性扩展】生成一个500范围的光环，光环内的敌人将减少等同于自身来源于此技能护甲奖励的护甲的70%%"

"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv5"			"【强抵挡+】效果持续提升至6秒"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv10"			"【领域格挡+】抵挡效果提升至75%%"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv15"			"【海妖触手】触发驱散时对周围500范围内随机三名敌人造成力量*2的物理伤害"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv20"			"【韧性】被动提升35%%状态抗性，这个效果不被被动破坏禁用"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_base_Info"     "伤害格挡：+2/级<br/>力量乘数：+0.01/级<br/>伤害临界值：-0.1%%/级<br/>"	
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv25_1"				"【巨物之甲】免疫减速，沉默,冻结，眩晕与缴械，同时获得持续强驱散的能力(不触发'海妖触手'')"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv25_2"				"【重型装甲】抵挡效果变为原来的两倍，且驱散所需系数下降至2%%，'海妖触手'的伤害值提高到力量*5"
"DOTA_Tooltip_ability_Advanced_kraken_shell_note_lv25_3"				"【替罪者】领域格挡状态下的友方英雄受到伤害时，将可以完全抵挡，对于额外抵消的伤害值将以30%%的反击伤害由光环携带者承受,如果此时光环携带者无敌，那么不会有伤害惩罚"


"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv5"			"【龙肤+】可无视护盾无效化的作用"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv10"			"【龙化+】持续时间提高至15秒"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv15"			"【龙吼】每隔18秒时间会眩晕400范围至多4名敌人1.5秒(被状态抗性与负面状态持续时间增强增强影响)，并造成生命恢复2倍的物理伤害"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv20"			"【不死】死亡后30秒可以复活(但全员死亡5秒后仍然会游戏失败)"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_base_Info"  "生命恢复：+2/级<br/>护甲提升：+0.5/级<br/>"	
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv25_1"				"【连锁龙吼】龙吼的冷却时间降低至10秒，范围提升至700,伤害提升5倍，首波龙吼影响到的敌人将变为中继点对周围随机3名目标发动龙吼。"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv25_2"				"【不灭】死亡后15秒即可复活，同时每次死亡都将获得5点全属性提升，最大加成150"
"DOTA_Tooltip_ability_Advanced_dragon_blood_note_lv25_3"				"【龙鳞的赐福】使'龙肤'得到强化，所有技能带来的护盾效果不再会被破坏，同时你获得额外150%%龙族血统护甲加成"




"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv5"			"【嘲弄之域+】范围扩展到1100"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv10"			"【洗礼+】恢复效果提升至50%%"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv15"			"【触碰式开关】生命值低于15%%时自动开启，但会作为独立的技能冷却120秒"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv20"			"【主角光环】技能生效期间提升50%%全属性。"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_base_Info"  "持续时间：+0.2/级<br/>"	
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv25_1"				"【阿哈利姆的赐福】开启作用期间，除了自己的友方单位每受到最大生命值10%%的伤害时可以自动对其释放一次单体高阶迷雾缠绕，相同单位有0.2秒冷却"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv25_2"				"【魔霭之殇】开启作用期间，友方英雄每受到最大生命值10%%的伤害时对其1000范围内最近的的2名敌人释放一次单体高阶迷雾缠绕，有0.1秒冷却"
"DOTA_Tooltip_ability_Advanced_borrowed_time_note_lv25_3"				"【灵魂归乡】主动效果冷却降低至固定4秒，但是每次释放只有1.5秒持续时间且状态结束后才会进入冷却"



"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv5"				"【温度吸收】[零度强化]提高自身%bonus_attack_speed%攻击速度，持续2秒（最多可叠加%max_count%次）。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv10"			"【绝对零度+】[零度强化]所需攻击次数-1。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv15"			"【彻骨之霜】技能将无视减益免疫,并使极寒之触本身造成的减速效果不再受到状态抗性影响。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv20"			"【移动冰霜炮台】每移动200距离，对攻击范围内最近的单位发动1次攻击"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_base_Info"       "基础伤害：+5/级<br/>智力乘数：+0.05/级<br/>减缓移速：+1/级<br/>持续时间：+0.05/级<br/>攻击距离提升：+5/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv25_1"				"【移动堡垒】'移动冰霜炮台'所需移动距离减少至70，同时不再视为奖励攻击"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv25_2"				"【冰雕大炮】技能可以切换，你的攻击速度被减缓至极致，但是你的攻击伤害可以提高到5倍。"
"DOTA_Tooltip_ability_Advanced_Chilling_Touch_note_lv25_3"				"【冰点】命中后可以吸收目标350范围内所有敌人的温度，每有一个敌人可以使额外伤害增加30%%"


"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv5"				"【气旋造形+】将产生两次效果，第一次在释放完2秒后，第二次在释放完4秒后，伤害为原来的70%%"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv10"			"【脆弱化+】伤害加深效果提升至25%%"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv15"			"【冷却】呆在区域内的友方英雄单位的位列最左的冷却中技能冷却速度加快30%%,但不能影响不可刷新技能"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv20"			"【魔力吸收】在区域内的敌军将减少20%%技能伤害"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_base_Info"       "作用范围：+15/级<br/>移速减缓：+4/级<br/>持续时间：+0.1/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv25_1"				"【骤变】使技能负面效果变得可以叠加,伤害加深效果减少至15%%，但技能伤害削减效果减少至11%%"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv25_2"				"【气候操控】负面状态范围提升为两倍，同时区域内敌人将陷入易伤状态，每次受到来自相同技能的伤害时会增加5%%，最多到达200%%"
"DOTA_Tooltip_ability_Advanced_Ice_Vortex_note_lv25_3"				"【过冷】获得被动能力，自身使用可刷新技能3秒后，其冷却时间将变为此时的60%%-110%%"



"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv5"			"【聚合+】每次攻击将叠加3层"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv10"			"【强性+】每层毒素将减少目标0.3%%魔法抗性"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv15"			"【融合】每秒额外施加等同于目标基础攻击力10%%的毒层数(与层数没关联,最多为智力*15)"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv20"			"【成长】毒液每存在1秒，提升0.5%%毒层数累计效果，最高提升50%%"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_base_Info"     "基础伤害：+0.2/级<br/>智力乘数：+0.002/级<br/>"	
// "DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv25_1"				"【相乘融合】每层毒素有2%%几率在施加毒素后为其附带3秒的高阶剧毒新星，超过50层后变更为必定附加一层，额外几率附带一层(不被增益)"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv25_2"				"【能量熔铸】每层毒刺可以附带你的最大魔法值0.3%%的毒素累计"
"DOTA_Tooltip_ability_Advanced_Poison_Sting_note_lv25_3"				"【生命熔铸】每层毒刺可以附带你最大生命值0.2%%的毒素累计"






"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv5"				"【郁毒灵气+】每秒累计毒素提高20%%"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv10"			"【暂缓】开启自动施法时获得20%%中毒伤害抗性，否则获得1%%最大生命值的生命恢复"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv15"			"【稠化剧毒+】敌人的中毒叠加速度提高至100%%"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv20"			"【竭心连锁】每秒对光环内最近的敌人传染竭心瘟疫，对其施加等同自身10%%中毒层数的中毒状态"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_base_Info"            "最大伤害乘数：+0.06/级<br/>每秒累计毒素：+0.01/每级<br/>"	
//"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv25_1"				"【戒律的回赠】可以开启自动施法，将每秒扣除自身10%%的当前生命与8%%的当前魔法，作为交换，每秒造成的伤害提升这一部分数值的三倍"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv25_2"				"【生命锁链】用锁链锁住光环内的敌人，降低其50%%的移动速度，任何一名敌人的死亡都会使光环内的至多10名敌人受到伤害永久提升5%%，最高叠加300%%"
"DOTA_Tooltip_ability_Advanced_Heart_Stopper_Aura_note_lv25_3"				"【死神召唤】技能每秒造成伤害后有5%%几率对其释放一次高阶死神镰刀"


"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv5"			"【绝望灵气+】恐惧智力系数提升一，即死智力系数提升二"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv10"			"【阴间特效+】将额外提供1%%/秒的最大生命值恢复"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv15"			"【死灵之息】区域内敌人将减少20%%魔法抗性"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv20"			"【领域扩展】每点智力将提升3点影响范围"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_base_Info"     "移速减缓：+4/级<br/>恢复增强：+1%%/级<br/>作用范围：+10/级<br/>持续时间：+0.1/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv25_1"				"【负向接触】释放技能后立即对范围内所有敌人造成以下随机效果：3秒忽略抗性麻痹/等同于你最大魔法值30%%的魔法伤害/等于你最大生命值50%%的魔法伤害，这个效果在技能结束时会再次触发"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv25_2"				"【死亡解放】区域作用范围内的敌人会累计受到的伤害，状态销毁时候你将对其造成累计伤害的100%%的魔法伤害,但不被技能伤害等效果影响"
"DOTA_Tooltip_ability_Advanced_Ghost_Shroud_note_lv25_3"				"【脉冲散播】对于处于区域内的敌人，每经过1-2秒可以对其释放一次单体的高阶死亡脉冲"


"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv5"			"【生死钟摆+】治疗友军后的10秒内，还会以每秒5%%原数值为其提供持续治疗效果"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv10"			"【死疫爆发+】中毒结算效率提高至45%%"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv15"			"【无止邪风】死亡脉冲每命中一个单位，都会返还自身0.2秒冷却时间"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv20"			"【死域风暴】释放时有30%%几率对2倍范围内的单位再次发射"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_base_Info"      "基础伤害/治疗：+10/级<br/>智力乘数：+0.1/级<br/>对中毒敌人伤害增加：+0.3%/级"	
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv25_1"				"【死神召唤】造成伤害后有15%%几率对目标释放一次单体的高阶死亡镰刀"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv25_2"				"【sin(3t)的死亡】转变为被动技能，每经过当sin(3t)等于1时自动释放一次死亡脉冲，t为时间。以这种方式释放死亡脉冲时，将减少自身现有中毒层数的90%%"
"DOTA_Tooltip_ability_Advanced_Death_Pulse_note_lv25_3"				"【萨达加尔，唤死之人】[死域风暴]将必定触发"














"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv5"			"【刺针扫射+】受到伤害的敌人会叠加一层【刺针】，持续15秒，独立计算时间，（不被状态抗性与负面状态持续时间增强增强影响）每层【刺针】在触发时会提供额外5%%伤害。"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv10"			"【蜷缩+】更改为背部扩展。"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv15"			"【能量充盈】受到伤害小于20时，按照20计算。"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv20"			"【多重扫射】每次扫射皆有15%%几率在0.5秒后再触发一次，伤害取触发源"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_base_Info"     "背部减免：+0.7%/级<br/>侧面减免：+0.5%%/级<br/>背面角度：+1/级<br/>侧面角度:+2/级<br/>"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv25_1"				"【刺针制造】每秒自动累计最大生命值15%%的伤害吸收点"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv25_2"				"【增强形刺针】刺针伤害提高100%%，敌人身上每到达6层'刺针'时将释放一次刺针，计算施法者最大生命值15%%的伤害"
"DOTA_Tooltip_ability_Advanced_Bristle_Back_note_lv25_3"				"【永久性损伤】'刺针'负面效果变为1000秒"



"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv5"			"【迎合+】额外受到35%%伤害，恢复效果提升至55%%。"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv10"			"【我错了别打了+】改变逻辑为：状态持续期间最小生命值为最大生命值的30%%,状态结束后恢复30%%的生命值。"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv15"			"【狂暴】状态持续期间造成的伤害提升25%%。"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv20"			"【猝死】提升嘲讽能力，嘲讽生效期间单位生命值低于施法者力量*7时造成即死效果。"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_base_Info"      "作用范围：+20/级<br/><br/>"	
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv25_1"				"【阿哈利姆的赐福】对被嘲讽的敌人使其降低20防御与35%%魔法抗性,前7名敌人还将附加一层高阶战斗饥渴"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv25_2"				"【肝胆破碎】提升'猝死'的能力，可以对生命值低于13%%的敌人造成即死"
"DOTA_Tooltip_ability_Advanced_Berserkers_Call_note_lv25_3"				"【欠揍哥】转变为被动技能，失去'我错了别打了'效果，你将以2秒的间隔嘲讽你周围的敌人，但嘲讽时间降低至1秒，同时以每秒一次的间隔检测你的生命值，如果你的生命值低于30%%时，可以恢复10%%，视为治疗"



"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv5"			"【动能维续+】触发持续时间增加至25秒"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv10"			"【喜加一+】触发效果时有40%%几率在0.2秒后再次触发一次(不会再次触发第三次)"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv15"			"【快速冷却】冷却时间变为固定的0.05秒。"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv20"			"【血能】当生命值高于70%%时，会消耗1%%最大生命值，额外提升消耗量*2的伤害。"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_base_Info"    "基础伤害：+6/级<br/>力量乘数：+0.06/级<br/>作用范围：+10/级<br/>触发几率：+0.3%%/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv25_1"				"【永动机】影响单位提升至7，来自'动能维续'的加成提升100%%，同时只要自身处于移动状态便可以每秒触发一次"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv25_2"				"【大地的感召】任何攻击事件都可以触发技能效果"
"DOTA_Tooltip_ability_Advanced_Counter_Helix_note_lv25_3"				"【反击风暴】技能可以主动施法，触发反击螺旋时可以储存触发次数，最多储存50次，主动释放后将以每秒5次的频率进行释放。"



"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv5"				"【全反射+】触发时记录150%%的伤害。"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv10"			"【莫比乌斯环+】触发几率提升至30%%"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv15"			"【能量充盈】当受到的伤害小于50时，也可以按照受到50伤害计算。"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv20"			"【能量破碎】受到大于500的伤害时，有40%%几率释放一次反射伤害，但只移除30%%的累计值。"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_base_Info"       "伤害减免：+0.5%%/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv25_1"				"【线偏振光】不再受到距离影响的伤害削减,只能影响三个目标，但全反射触发几率提升至60%%"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv25_2"				"【远场衍射】不再受到距离影响的伤害削减,伤害减免额度提升10%%,影响目标减少至3,但被折射的单位在3秒内将变为'衍射孔'，将受到的30%%的伤害记录发送给折射中心"
"DOTA_Tooltip_ability_Advanced_Dispersion_note_lv25_3"				"【非相干散射】不再受到距离影响的伤害削减,影响目标减少至4，受到折射的单位会将80%%层数再折射给周围（N-1）个单位，直到剩余0，折射伤害将延缓0.1-0.5秒结算(除了初次折射选择最近单位，其他选择随机单位)"




"DOTA_Tooltip_ability_Advanced_Haunt_note_lv5"			"【无尽能量+】幻象每次攻击将提升5点攻速，最高提升250."
"DOTA_Tooltip_ability_Advanced_Haunt_note_lv10"			"【能量聚合+】伤害转换提升至25%%"
"DOTA_Tooltip_ability_Advanced_Haunt_note_lv15"			"【能量汲取】幻象额外造成施法者敏捷×0.5的伤害"
"DOTA_Tooltip_ability_Advanced_Haunt_note_lv20"			"【无尽能量++】幻象每次攻击将会额外存留0.2秒(最多额外存留10秒)"
"DOTA_Tooltip_ability_Advanced_Haunt_note_base_Info"    "敏捷乘数：+0.02/级<br/>"	
// "DOTA_Tooltip_ability_Advanced_Haunt_note_lv25_1"				"【能量重组】幻象的攻击有5%%几率对目标发动一次高阶幽鬼之刃（但1秒最多触发一次）"
"DOTA_Tooltip_ability_Advanced_Haunt_note_lv25_2"				"【猎手】你的攻击有5%%几率召唤一个持续3秒的幻象，但3秒内最多触发6次(无法触发LV20效果)"
"DOTA_Tooltip_ability_Advanced_Haunt_note_lv25_3"				"【平原野鬼】被动生成3具鬼影跟随自己，每10秒将会刷新一次"


"DOTA_Tooltip_ability_Advanced_Desolate_note_lv5"			"【沙鲁空气拳+】被空气拳击中的敌人还会进入被动破坏状态，持续2秒"
"DOTA_Tooltip_ability_Advanced_Desolate_note_lv10"			"【背叛与抛弃】孤独感造成伤害时，若单位周围的友军少于2个，那么其永远视为被孤立的状态"
"DOTA_Tooltip_ability_Advanced_Desolate_note_lv15"			"【孤魂收割+】[孤魂]现在会强化沙鲁空气拳，每层为其提供4点伤害范围和0.3%%线性伤害倍率"
"DOTA_Tooltip_ability_Advanced_Desolate_note_lv20"			"【孤立无援】孤独感对沉默单位的伤害提高30%%"
"DOTA_Tooltip_ability_Advanced_Desolate_note_base_Info"     "攻击累计孤独感：+1%/级<br/>空气拳伤害：+1%/级"	
//"DOTA_Tooltip_ability_Advanced_Desolate_note_lv25_1"				"【折返】触发'沙鲁之击'时有20%%几率立即结算一次高阶折射的伤害（仅移除30%%的累计值）"
//"DOTA_Tooltip_ability_Advanced_Desolate_note_lv25_2"				"【猎刃】仅近战有效，所有技能效果不再由于敌人过多而失效，区域内每存在额外6名敌人，你的攻击次数加一，有0.1秒的延缓。同时这个效果一帧只能触发一次，最多额外攻击3次"
//"DOTA_Tooltip_ability_Advanced_Desolate_note_lv25_3"				"【暗影猎捕】触发主效果时，如果目标的防御力大于0，你可以把其视为50%%的负数"


// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv5"				"【幽暗之路+】攻击速度提升150，额外获得20%%伤害减免效果。"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv10"			"【横裂之魄+】吸收伤害提升至25%%。"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv15"			"【荆棘之路】处于移速减缓的敌人每隔2秒会被缠绕1秒(不被状态抗性与负面状态持续时间增强增强影响，可被弱驱散)"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv20"			"【暗影之路】路径上的所有友军获得40%%闪避。"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_base_Info"  "基础伤害：+15/级<br/>额外伤害：+0.1/级<br/>移动速度减缓/增加：+4/级<br/>"	
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_1"				"【幽鬼之影】每4-7秒召唤两支匕首环绕自己移动，持续时间不定，最多存续6秒"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_2"				"【猎影】如果你的第一次与第二次幽鬼之刃造成伤害后目标的生命差值在15%%以上，那么此后你的幽鬼之刃伤害可以对其提高到15倍"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_3"				"【折影】高阶折射结算时有50%%几率对受到伤害的一名敌人掷出一把幽鬼之刃，这个效果有1秒冷却时间(不被概率事件加成影响)"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv5"				"【猎影双刃+】获得当前匕首数量*40的攻击力加成"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv10"			"【猎杀时间+】额外召唤的匕首增加至3"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv15"			"【横裂之魄】匕首的伤害将附加全额攻击力20%%，同时每次匕首造成伤害时都有5%%几率额外增加一把匕首，额外的匕首最多为5，持续8秒"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv20"			"【暗影之路】猎杀时间期间获得穿越地形移动能力"
"DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_base_Info"  "基础伤害：+6/级<br/>额外伤害：+0.04/级<br/>移动速度减缓：+6/级<br/>"	
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_1"				"【幽鬼之影】"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_2"				"【猎影】"
// "DOTA_Tooltip_ability_Advanced_Spectral_Dagger_note_lv25_3"				"【折影】"





"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv5"				"【赫菲斯托斯之福佑+】触发几率提升至60%%"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv10"			"【流转+】流转触发时有50%%几率将伤害提高一倍"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv15"			"【全集中】生命值低于40%%时将侧面角度提升至360°"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv20"			"【赎罪】敌人每次正面攻击自己会叠加一层【赎罪】，受到来源于解锁此效果的单位的伤害将提升【叠加层数*0.6】%%,最高叠加50层，持续10秒,每次叠加刷新时间。(不被状态抗性与负面状态持续时间增强增强影响,不可驱散)"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_base_Info"  "正面物理伤害减免：+0.5%%/级<br/>侧面物理伤害减免：+0.3%%/级<br/>正面角度：+1/级<br/>侧面角度:+2/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv25_1"				"【匠神之盾】正面减免效果提升12.5%%，且任何角度的攻击都将视为正面抵挡"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv25_2"				"【完全反击】无论是否触发'流转'，被攻击时都有10%%几率触发一次'神之谴责'(仅触发高阶),随后进入2秒的冷却时间，如果未携带技能则无法触发"
"DOTA_Tooltip_ability_Advanced_Bulwark_note_lv25_3"				"【赎罪之路】'赎罪'的层数限制提升至300且每次叠加两层，每层效果提升至1%%同时层数大于50后不再限制攻击者，任何人攻击附带'赎罪'的单位都将获得加成（如果存在两个不同的来源，当解锁了奥义的英雄刷新了状态后即视为1%%的加成）"







"DOTA_Tooltip_ability_Advanced_Spear_note_lv5"				"【烈性火矛+】爆炸攻击力翻倍"
"DOTA_Tooltip_ability_Advanced_Spear_note_lv10"			"【战神步伐】使用急行后，投矛的穿刺伤害增加35%%"
"DOTA_Tooltip_ability_Advanced_Spear_note_lv15"			"【轻灵连掷】连续投掷2次，同时立刻刷新急行的冷却时间"
"DOTA_Tooltip_ability_Advanced_Spear_note_lv20"			"【战神步伐+】使用急行后，战神之矛的剩余冷却时间减少1.5秒，适用轻巧铁矛时则减少4.5秒"
"DOTA_Tooltip_ability_Advanced_Spear_note_base_Info"  "基础伤害：+11/级<br/>攻击力乘数：+0.11/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Spear_note_lv25_1"				"【幻影掷矛手】左右各生成3名斯巴达战士对相同方向投掷战矛，其附带的额外伤害与主矛相同，爆炸伤害可以叠加"
"DOTA_Tooltip_ability_Advanced_Spear_note_lv25_2"				"【斯巴达接力】在战矛的终点生成一名斯巴达战士向反方向投掷战矛，这个行为将重复3次"
//"DOTA_Tooltip_ability_Advanced_Spear_note_lv25_3"				"【战神执念】'狂战'消耗的生命值提升至70%%，同时吸血效果在生命值大于50%%时也可以生效"


"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv5"				"【超力起跳】引导时间和脉冲间隔减少25%%"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv10"			"【天罚余波】坠击会造成3次大型脉冲，其范围、伤害和治疗量提高80%"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv15"			"【惊艳天罚】技能获得2次充能"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv20"			"【天罚余波+】大型脉冲还会造成50%%减速效果，持续2秒"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_base_Info"  "基础伤害/治疗：+5/级<br/>基础攻击力乘数：+0.04/级<br/>额外治疗力量乘数：+0.04/级<br/>着陆基础伤害：+10/级<br/>着陆额外伤害攻击力乘数：：+0.15/级<br/>作用范围：：+10/级<br/>"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv25_1"				"【秩序融合】你的攻击可以触发一次脉冲，如果你同时拥有高阶熠熠生辉效果，则变为不带眩晕效果的最终脉冲效果。不具备'原初之光'效果，有1秒冷却。如果触发的为最终脉冲，则变为2倍伤害与5倍冷却（那特效伤害眼睛）"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv25_2"				"【无尽职责】技能可以开启自动施法，在此状态下你可以双击任何地点，如果这个地点周围400范围有友军存在，你可以立即飞向此地点，并造成一次最终脉冲效果，这个效果有5秒冷却"
"DOTA_Tooltip_ability_Advanced_Solar_Guardian_note_lv25_3"				"【秩序军团】召唤物附带原初之光的能力，每只召唤物每隔9秒都可以触发一次脉冲"

	


"DOTA_Tooltip_ability_Advanced_Celestial_Hammer_note_lv5"				"【圣光回响+】影响单位加1，但对同个单位最多只能触发2次"
"DOTA_Tooltip_ability_Advanced_Celestial_Hammer_note_lv10"			"【武神+】额外增加60%%移动速度，并且持续时间内移动速度不会被减缓 "
"DOTA_Tooltip_ability_Advanced_Celestial_Hammer_note_lv15"			"【武神++】持续时间内受到伤害减免17%%(唯一)"
