"DOTA_Tooltip_modifier_hd_cleave_damage"                   "Cleave damage"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_debuff_Description"       "Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_debuff"                   "Fire of Rage"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_debuff_Description"       "Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_unlock2_debuff"                   "Breath of Source"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_unlock2_debuff_Description"       "Full attack damage reduce by %fMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%" 


"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_heal"                   "Voodoo Restoration"
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_heal_debuff_Description"       "Under Treatment" 
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_unlock3"                   "Cold Wine"
"DOTA_Tooltip_modifier_Advanced_Voodoo_Restoration_unlock3_Description"       "You are not afraid of any injury that will not cause immediate death" 


"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock1"                   "Divine Eclipse"
"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock1_Description"       "Max mana increased by %fMODIFIER_PROPERTY_EXTRA_MANA_PERCENTAGE%%%" 

"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock2"                   "Astral Power"
"DOTA_Tooltip_modifier_Advanced_astral_imprisonment_unlock2_Description"       "Max mana increased by %fMODIFIER_PROPERTY_MANA_BONUS%" 


"DOTA_Tooltip_modifier_creeps_spell_time_dilation_debuff"                   "Time Dilation"
"DOTA_Tooltip_modifier_creeps_spell_time_dilation_debuff_Description"       "Your time goes by very slowly" 

"DOTA_Tooltip_modifier_creeps_spell_Chronosphere_debuff"                   "Chronosphere"
"DOTA_Tooltip_modifier_creeps_spell_Chronosphere_debuff_Description"       "Feel powerless" 
"DOTA_Tooltip_modifier_creeps_spell_Wave51_debuff"                   "Chronosphere"
"DOTA_Tooltip_modifier_creeps_spell_Wave51_debuff_Description"       "Feel powerless" 

"DOTA_Tooltip_modifier_creeps_spell_Wave51_form3_debuff"                   "Time Reverse Phagocytosis"
"DOTA_Tooltip_modifier_creeps_spell_Wave51_form3_debuff_Description"       "Reduced armor and magic resistance" 



"DOTA_Tooltip_modifier_Advanced_summon_water_element_buff_unlock3"                   "Heart of the Ocen"
"DOTA_Tooltip_modifier_Advanced_summon_water_element_buff_unlock3_Description"       "Absorb the mana of surrounding friendly heroes" 





"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_2_Upgrade"                   "Wave"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_morphling_2_Upgrade_Description"       "Increase attack speed and movement speed" 




"DOTA_Tooltip_modifier_Primary_fiery_soul"                   "Primary Fiery Soul"
"DOTA_Tooltip_modifier_Primary_fiery_soul_Description"       "Give attack speed and movement speed bonus" 
"DOTA_Tooltip_modifier_Middle_fiery_soul"                   "Middle Fiery Soul"
"DOTA_Tooltip_modifier_Middle_fiery_soul_Description"       "Give attack speed and movement speed bonus" 
"DOTA_Tooltip_modifier_Advanced_fiery_soul"                   "Advanced Fiery Soul"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_Description"       "Give attack speed and movement speed bonus" 



"DOTA_Tooltip_modifier_Middle_fiery_soul_active"                   "Breath of Flame"
"DOTA_Tooltip_modifier_Middle_fiery_soul_active_Description"       "Gives magic damage a significant increase" 
"DOTA_Tooltip_modifier_Advanced_fiery_soul_active"                   "Breath of Flame"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_active_Description"       "Gives magic damage a significant increase" 


"DOTA_Tooltip_modifier_Advanced_fiery_soul_unlock3"                   "Emperor Time"
"DOTA_Tooltip_modifier_Advanced_fiery_soul_unlock3_Description"       "Greatly increase all attributes, casting range and spell damage" 

"DOTA_Tooltip_modifier_Primary_reverse_polarity_debuff"                   "Primary Reverse Polarity"
"DOTA_Tooltip_modifier_Primary_reverse_polarity_debuff_Description"       "Take additional %dMODIFIER_PROPERTY_TOOLTIP%%% damage" 
"DOTA_Tooltip_modifier_Middle_reverse_polarity_debuff"                   "Middle Reverse Polarity"
"DOTA_Tooltip_modifier_Middle_reverse_polarity_debuff_Description"       "Take additional %dMODIFIER_PROPERTY_TOOLTIP%%% damage, armor reduce by %dMODIFIER_PROPERTY_TOOLTIP%, magic resistance reduce by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%" 
"DOTA_Tooltip_modifier_Advanced_reverse_polarity_debuff"                   "Advanced Reverse Polarity"
"DOTA_Tooltip_modifier_Advanced_reverse_polarity_debuff_Description"       "Take additional %dMODIFIER_PROPERTY_TOOLTIP%%% damage, armor reduce by %dMODIFIER_PROPERTY_TOOLTIP%, magic resistance reduce by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%" 



"DOTA_Tooltip_modifier_Advanced_reverse_polarity_unlock1"                   "World Rebuild"

"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2"                   "Collapse"
"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2_Description"                   "Armor reduce by %dMODIFIER_PROPERTY_TOOLTIP%"

"DOTA_Tooltip_modifier_Primary_onslaught_charge"                   "Onslaught"
"DOTA_Tooltip_modifier_Primary_onslaught_charge_Description"                   "Charging"
"DOTA_Tooltip_modifier_Middle_onslaught_charge"                   "Onslaught"
"DOTA_Tooltip_modifier_Middle_onslaught_charge_Description"                   "Charging"
"DOTA_Tooltip_modifier_Advanced_onslaught_charge"                   "Onslaught"
"DOTA_Tooltip_modifier_Advanced_onslaught_charge_Description"                   "Charging"


"DOTA_Tooltip_modifier_Middle_onslaught_debuff"                   "Battle Formation Break"
"DOTA_Tooltip_modifier_Middle_onslaught_debuff_Description"                   "Armor reduce by %dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_Advanced_onslaught_debuff"                   "Battle Formation Break"
"DOTA_Tooltip_modifier_Advanced_onslaught_debuff_Description"                   "Armor reduce by %dMODIFIER_PROPERTY_TOOLTIP%"



"DOTA_Tooltip_modifier_Advanced_arcane_bolt_buff"                   "The Brilliance of Arcane"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_buff_Description"                   "INT increased by %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"

"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff"                   "The Seal of Arcane Law"


"DOTA_Tooltip_modifier_item_hd_Song_of_Eagle_Voice_of_Dragonus_buff"                   "Eagle Song"
"DOTA_Tooltip_modifier_item_hd_Song_of_Eagle_Voice_of_Dragonus_buff_Description"                   "Spell damage increased by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff_unlock3"                   "Eagle Song· Arcane Seal"
"DOTA_Tooltip_modifier_Advanced_arcane_bolt_debuff_unlock3_Description"                   "Magic resistance reduced by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%"


"DOTA_Tooltip_modifier_Slime_buff_unlock1_count"                   "Nurture Points"
"DOTA_Tooltip_modifier_Slime_buff_unlock2_debuff"                   "Digestion"
"DOTA_Tooltip_modifier_Slime_buff_unlock2_debuff_Description"                   "Armor reduced by %dMODIFIER_PROPERTY_TOOLTIP%"

"DOTA_Tooltip_modifier_Advanced_assassinate_unlock3"                   "Ammo Depot"
"DOTA_Tooltip_modifier_Advanced_assassinate_unlock3_Description"                   "Plasma Ammo Depot"


"DOTA_Tooltip_modifier_Advanced_finger_of_death_unlock2"                   "Temporary Mana"

"DOTA_Tooltip_modifier_Advanced_finger_of_death_unlock3"                   "Aziz‘s Evil Hand"



"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock1_debuff"                   "Ocean Engraving · Erosion"
"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock1_debuff_Description"                   "Take %fMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%% additional physical damage"

"DOTA_Tooltip_modifier_Advanced_corrosive_haze_unlock3_active"                   "Brine Charm"

"DOTA_Tooltip_modifier_item_hd_infernal_menace_buff"                   "Endless Corpses"
"DOTA_Tooltip_modifier_item_hd_infernal_menace_buff_Description"                   "Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"


"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock2_debuff"                   "The Embodiment of Fear"
"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock2_debuff_Description"                   "It will receive Brain Sap once every %dMODIFIER_PROPERTY_TOOLTIP% times of damage taken"


"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock3_debuff"                   "Fear Invasion"
"DOTA_Tooltip_modifier_Advanced_brain_sap_unlock3_debuff_Description"                   "Take additional %dMODIFIER_PROPERTY_TOOLTIP%%% damage, reduce outgoing damage by %dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_Advanced_howl_unlock2_debuff"                   "Painful Echo Panic"
"DOTA_Tooltip_modifier_Advanced_howl_unlock2_debuff_Description"                   "Take additional %dMODIFIER_PROPERTY_TOOLTIP%%% damage"


"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock2_buff"                   "Physical stimulation"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock2_buff_Description"                   "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"


"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_unlock3_buff"                   "Advanced Electrostatic Armor"
"DOTA_Tooltip_modifier_Advanced_chaos_strike_unlock3"                   "Chaotic Creation"


"DOTA_Tooltip_modifier_Advanced_Inner_Beast_unlock2_buff"                   "Soul Transfer"
"DOTA_Tooltip_modifier_Advanced_Inner_Beast_unlock2_buff_Description"                   "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"






"DOTA_Tooltip_modifier_Advanced_Acid_Sparay_unlock3_effect"                   "Lemon King"
"DOTA_Tooltip_modifier_Advanced_Acid_Sparay_unlock3_effect_Description"                   "Take %dMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%% more physical damage"

"DOTA_Tooltip_modifier_Advanced_Caustic_Finale_unlock2_passive"                   "Advanced Caustic Finale"

"DOTA_Tooltip_modifier_Advanced_Vampiric_Spirit"                   "Blood Union"
"DOTA_Tooltip_modifier_Advanced_Vampiric_Spirit_Description"                   "Current savings points"






"DOTA_Tooltip_modifier_Advanced_Void_time_walk_Chronosphere_debuff"                   "Chronosphere"
"DOTA_Tooltip_modifier_Advanced_Void_time_walk_Chronosphere_debuff_Description"                   "You are in a Chronosphere"
"DOTA_Tooltip_modifier_Middle_Void_time_walk_Chronosphere_debuff"                   "Chronosphere"
"DOTA_Tooltip_modifier_Middle_Void_time_walk_Chronosphere_debuff_Description"                   "You are in a Chronosphere"
"DOTA_Tooltip_modifier_Primary_Void_time_walk_Chronosphere_debuff"                   "Chronosphere"
"DOTA_Tooltip_modifier_Primary_Void_time_walk_Chronosphere_debuff_Description"                   "You are in a Chronosphere"








"DOTA_Tooltip_modifier_primary_Holy_light_shield"                   "Primary Holy Light Shield"
"DOTA_Tooltip_modifier_primary_Holy_light_shield_Description"       "Gain damage block" 

"DOTA_Tooltip_modifier_Middle_Holy_light_shield"                   "Middle Holy Light Shield"
"DOTA_Tooltip_modifier_Middle_Holy_light_shield_Description"       "Gain damage block" 

"DOTA_Tooltip_modifier_Advanced_Holy_light_shield"                   "Advanced Holy Light Shield"
"DOTA_Tooltip_modifier_Advanced_Holy_light_shield_Description"       "Gain damage block" 





"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Byssrak_effect"                   "Primary Byssrak's Soul"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Byssrak_effect_Description"       "Full attack damage increased by %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%, attack speed reduced by %fMODIFIER_PROPERTY_TOOLTIP%%%" 



"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Byssrak_effect"                   "Middle Byssrak's Soul"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Byssrak_effect_Description"       "Full attack damage increased by %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%, attack speed reduced by %fMODIFIER_PROPERTY_TOOLTIP%%%;<br>Accumulated %dMODIFIER_PROPERTY_TOOLTIP%%% outgoing damage bonus." 





"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Byssrak_effect"                   "Advanced Byssrak's Soul"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Byssrak_effect_Description"       "Full attack damage increased by %dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%, attack speed reduced by %fMODIFIER_PROPERTY_TOOLTIP%%%;<br>Accumulated %dMODIFIER_PROPERTY_TOOLTIP%%% outgoing damage bonus." 






"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Lirrak_effect"                   "Primary Lirrak's Soul"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Lirrak_effect_Description"       "Health regen increased by %dMODIFIER_PROPERTY_TOOLTIP%, attack range increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 


"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect"                   "Middle Lirrak's Soul"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect_Description"       "Health regen increased by %dMODIFIER_PROPERTY_TOOLTIP%, attack range increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect"                   "Advanced Lirrak's Soul"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect_Description"       "Health regen increased by %dMODIFIER_PROPERTY_TOOLTIP%, attack range increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect2"                   "Pregnancy"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Lirrak_effect2_Description"       "Increase summoning time by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect2"                   "Pregnancy"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_effect2_Description"       "Increase summoning time by %dMODIFIER_PROPERTY_TOOLTIP%%%" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_debuff"                   "Kiss of Winter"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_debuff_Description"       "take %dMODIFIER_PROPERTY_TOOLTIP%%% Additional damage" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_lv20"                   "Whale Falling"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_lv20_Description"       "Outgoing damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 


"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_unlock1"                   "Lirrak's Dragon Soul"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Lirrak_unlock1_Description"       "incoming damage decreased by %dMODIFIER_PROPERTY_TOOLTIP%%%, heal receive amplification increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 





"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Indrak_effect"                   "Primary Indrak's Soul"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Indrak_effect_Description"       "Attack speed increased by %fMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Indrak_effect"                   "Middle Indrak's Soul"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Indrak_effect_Description"       "Attack speed increased by %fMODIFIER_PROPERTY_TOOLTIP%%%+%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Indrak_effect"                   "Advanced Indrak's Soul"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Indrak_effect_Description"       "Attack speed increased by %fMODIFIER_PROPERTY_TOOLTIP%%%+%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%" 





"DOTA_Tooltip_modifier_Primary_Arcane_Replacement"                   "Primary Osters Dominion Arcane Replacement"
"DOTA_Tooltip_modifier_Primary_Arcane_Replacement_Description"       "Saving healing energy" 
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement"                   "Middle Osters Dominion Arcane Replacement"
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_Description"       "Saving healing energy" 
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement"                   "Advanced Osters Dominion Arcane Replacement"
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_Description"       "Saving healing energy" 

"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_effect"                   "Arcane Control"
"DOTA_Tooltip_modifier_Middle_Arcane_Replacement_effect_Description"       "Heal amplification increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_effect"                   "Arcane Control"
"DOTA_Tooltip_modifier_Advanced_Arcane_Replacement_effect_Description"       "Heal amplification increased by %dMODIFIER_PROPERTY_TOOLTIP%%%" 

"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_damage_effect"                   "Thunder"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Aethrak_damage_effect_Description"       "Delay damage" 
"DOTA_Tooltip_modifier_Primary_Haunt_damage"                   "Primary Haunt"
"DOTA_Tooltip_modifier_Primary_Haunt_damage_Description"       "Delay damage" 
"DOTA_Tooltip_modifier_Middle_Haunt_damage"                   "Middle damage"
"DOTA_Tooltip_modifier_Middle_Haunt_damage_Description"       "Delay damage" 
"DOTA_Tooltip_modifier_Advanced_Haunt_damage"                   "Advanced damage"
"DOTA_Tooltip_modifier_Advanced_Haunt_damage_Description"       "Delay damage" 




"DOTA_Tooltip_modifier_Primary_invincible_army_damage"                   "Primary Invincible Army"
"DOTA_Tooltip_modifier_Primary_invincible_army_damage_Description"       "Delay damage" 
"DOTA_Tooltip_modifier_Middle_invincible_army_damage"                   "Middle  Invincible Army"
"DOTA_Tooltip_modifier_Middle_invincible_army_damage_Description"       "Delay damage" 
"DOTA_Tooltip_modifier_Advanced_invincible_army_damage"                   "Advanced  Invincible Army"
"DOTA_Tooltip_modifier_Advanced_invincible_army_damage_Description"       "Delay damage" 



"DOTA_Tooltip_modifier_Middle_frost_arrows_damage_delay"                   "Middle Frost Arrows"
"DOTA_Tooltip_modifier_Middle_frost_arrows_damage_delay_Description"       "Delay damage" 



"DOTA_Tooltip_modifier_creeps_Melting_Strike_debuff"                   "Melting Strike"
"DOTA_Tooltip_modifier_creeps_Melting_Strike_debuff_Description"                   "Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_silencer_2_buff"                   "Glaives of Wisdom"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_silencer_2_buff_Description"                   "INT increased by %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"





"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_buff"                   "Decay"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_buff_Description"                   "STR increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_debuff"                   "Decay"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_debuff_Description"                   "STR reduced by %d%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%%"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_2"                   "Essence Shift"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_2_Description"                   "AGI increased by %d%MODIFIER_PROPERTY_STATS_AGILITY_BONUS%%"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_2"                   "Duel"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_2_Description"                   "Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, base attack damage increased by %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%"







"DOTA_Tooltip_modifier_Advanced_double_edge_buff_unlock2"                   "Waltz · Beyond Limits"
"DOTA_Tooltip_modifier_knockback"                   "Knockback"


"DOTA_Tooltip_modifier_item_hd_ancient_living_stone_active"                   "Ancient Living Stone"

"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_debuff"                   "Energy Manipulation"
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_debuff_Description"       "Spell Damage amp decreased by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%" 
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_buff"                   "Energy Manipulation"
"DOTA_Tooltip_modifier_item_hd_yulsarias_glacier_buff_Description"       "Spell Damage amp increased by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%" 
