"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Primary_summon_water_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Primary_summon_water_element_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Middle_summon_water_element"	"Middle Summons · Water Element "
"DOTA_Tooltip_ability_Middle_summon_water_element_Description"	" Infuse magic into water to create a powerful water element. The water element has a bounce attack, whose attack can bounce once. <br><br>[Life And Growth In Nature] When the HP of the water element is lower than 10%%, restores its HP to 50%%. This effect can be triggered 3 times. (Considered healing from the caster)"
"DOTA_Tooltip_ability_Middle_summon_water_element_Lore"	"Water is the source of life, and when the magic is gathered, the power of the elements will be born from it. Whenever the force of life is about to perish, the water of life always pushes death back."
"DOTA_Tooltip_ability_Middle_summon_water_element_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.<br><br>"
"DOTA_Tooltip_ability_Middle_summon_water_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Middle_summon_water_element_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Middle_summon_water_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Middle_summon_water_element_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Advanced_summon_water_element"	"Advanced Summons · Water Element "
"DOTA_Tooltip_ability_Advanced_summon_water_element_Description"	" Infuse magic into water to create a powerful water element. The water element has a bounce attack, whose attack can bounce once. <br><br>[Life And Growth In Nature] When the HP of the water element is lower than 10%%, restores its HP to 50%%. This effect can be triggered 3 times. (Considered healing from the caster)<br><br> [Long History] The water element is strengthened according to the distance travelled. For every 100 distances covers, restores 5%% of its maximum health and increases attack damage by 1%%. (Maximum increase up to 200%%)"
"DOTA_Tooltip_ability_Advanced_summon_water_element_Lore"	"Breath of water."
"DOTA_Tooltip_ability_Advanced_summon_water_element_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.<br><br>"
"DOTA_Tooltip_ability_Advanced_summon_water_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summon_water_element_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Advanced_summon_water_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Advanced_summon_water_element_duration"	"Life Duration:"



"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak"	"Primary Aethrak’s soul"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Description"	"Soul of air dragon grants your summons with attribute increase."
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Lore"	"Slyrak the Fire dragon, Uldorak the Earth dragon, Lirrak the Water dragon and Aethrak the Air dragon, correspond to four elements, fire, earth, ice and thunder. The soul of the ancient air dragon will grant its dependents powerful abilities."
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_life_steal"	"%Attack Damage Lifesteal:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_life_steal_constant"	"Attack Damage Lifesteal:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Aethrak_bonus_move_speed"	"Bonus Move Speed:"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak"	"Middle Aethrak’s soul"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Description"	"Soul of air dragon grants your summons with attribute increase.<br><br>[Thunder] 10%% for the attack of the summons to cause thunder, causing damage equal to 100%% of the attack damage of the summons to the target (considered as the damage of the caster, with a built-in 2 seconds cooldown.) "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Lore"	"The ruler of the sky holds the power of thunder and lightning, and the air dragon shares this divine power. "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Aethrak_bonus_move_speed"	"Bonus Move Speed:"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak"	"Advanced Aethrak’s soul"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Description"	"Soul of air dragon grants your summons with attribute increase.<br><br>[Thunder] 10%% for the attack of the summons to cause thunder, causing damage equal to 100%% of the attack damage of the summons to the target (considered as the damage of the caster, with a built-in 2 seconds cooldown.) <br><br> [Force of elements] Blurred, 20%% chance to be immune to any damage (unless the damage is fatal)"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Lore"	"Among the four basic elements, fire symbolizes attack, earth defense, ice negative, and thunder positive. The power of the sky will grant its dependents the ability to dispel death."
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. <br>Damage of 'Thunder' will be settled with 0.5 seconds delay"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Aethrak_bonus_move_speed"	"Bonus Move Speed:"











"DOTA_Tooltip_ability_Primary_summon_earth_element"	"Primary Summons Element· Earth Element"
"DOTA_Tooltip_ability_Primary_summon_earth_element_Description"	"Infuse magic into earth to create a powerful earth element. Earth element has high initial defense and 45%% magic resistance. "
"DOTA_Tooltip_ability_Primary_summon_earth_element_Lore"	"Earth is the foundation of the world, and when the magic is gathered, the power of the elements will be born from it."
"DOTA_Tooltip_ability_Primary_summon_earth_element_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.<br><br>"
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Primary_summon_earth_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Primary_summon_earth_element_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Primary_summon_earth_element_basic_armor"	"Basic Armor:"

"DOTA_Tooltip_ability_Middle_summon_earth_element"	"Middle Summons Element· Earth Element"
"DOTA_Tooltip_ability_Middle_summon_earth_element_Description"	"Infuse magic into earth to create a powerful earth element. Earth element has high initial defense and 45%% magic resistance. <br><br>[ Wall of earth] The earth element gains a halo effect, adding 7 points of bonus armor to allied units within 500 radius, independently stacking."
"DOTA_Tooltip_ability_Middle_summon_earth_element_Lore"	"Earth is the foundation of the world, and when the magic is gathered, the power of the elements will be born from it.The cornerstones of the earth will converge to form an iron wall."
"DOTA_Tooltip_ability_Middle_summon_earth_element_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.<br><br>"
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Middle_summon_earth_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Middle_summon_earth_element_basic_armor"	"Basic Armor:"
"DOTA_Tooltip_ability_Middle_summon_earth_element_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Advanced_summon_earth_element"	"Advanced Summons Element· Earth Element"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Description"	"Infuse magic into earth to create a powerful earth element. Earth element has high initial defense and 45%% magic resistance. <br><br>[ Wall of earth] The earth element gains a halo effect, adding 7 points of bonus armor to allied units within 500 radius, independently stacking.<br><br>[Hardening] Enemies attacking the earth element within 300 range from the earth element have a 10%% chance of being stunned for 1 second and taking physical damage equal to the summoner's power*1.5."
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Lore"	" Earth is the foundation of the world, and when the magic is gathered, the power of the elements will be born from it.The cornerstones of the earth will converge to form an iron wall. And when someone who doesn't really understand the power of the wall and attack it, they will be recoiled to death."
"DOTA_Tooltip_ability_Advanced_summon_earth_element_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.<br><br>"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_basic_armor"	"Basic Armor:"
"DOTA_Tooltip_ability_Advanced_summon_earth_element_duration"	"Life Duration:"


"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper"	"Primary Summons the undead ·Jack the Ripper"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Description"	" Summons the terrifying killer from the world of the dead. Jack the Ripper has 10%% lifesteal damage. "
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Lore"	"Reincarnation"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain."
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_basic_armor"	"Basic Armor:"
"DOTA_Tooltip_ability_Primary_summons_undead_jack_the_ripper_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper"	"Middle Summons the undead ·Jack the Ripper"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Description"	" Summons the terrifying killer from the world of the dead. Jack the Ripper has 10%% lifesteal damage. <br><br>[Blood Thirst] When attacking a target, gain (100- target's current health point* 100) %% attack speed."
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Lore"	"The Ripper is very sensitive to blood, and his bestiality is even more inspired by those on the verge of death."
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain."
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Middle_summons_undead_jack_the_ripper_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper"	"Advanced Summons the undead ·Jack the Ripper"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Description"	" Summons the terrifying killer from the world of the dead. Jack the Ripper has 10%% lifesteal damage. <br><br>[Blood Thirst] When attacking a target, gain (100- target's current health point* 100) %% attack speed.<br><br>[Bloodthirsty] When the lifesteal value reaches 70%% of maximum attack damage, increases attack damage by 5%%, accumulated up to 100%%."
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Lore"	"The Ripper becomes more furious, more deadly while bathing in blood. "
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_Note0"	"Attribute inheritance type: maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain."
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Advanced_summons_undead_jack_the_ripper_duration"	"Life Duration:"


"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak"	"Primary Vahdrak’s Soul"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Description"	"Soul of Chaos dragon will grant your summons a certain attribute boost."
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Lore"	"Orrak is the Luminous dragon, Vahdrak the Chaos dragon, Byssrak the Void dragon, Indrak is the Ionic, correspond to the four laws, light, chaos, void, ion. The soul of the Chaos Ancient Dragon will grant its retinue powerful abilities."
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_move_speed"	"Bonus Move Speed:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%Min Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%Max Bonus Attack Damage:"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak"	"Middle Vahdrak’s Soul"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Description"	"Soul of Chaos dragon will grant your summons a certain attribute boost.<br><br>[Chaos Strike] The attack of the summon can trigger a critical strike, causing 120-220%% damage, with a built-in 3 second cooldown."
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Lore"	"Chaos comes from the opposite of order. The stronger the power of order, the stronger the power of chaos."
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%Max Bonus Attack Damage:"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%Min Bonus Attack Damage:"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak"	"Advanced Vahdrak’s Soul"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Description"	"Soul of Chaos dragon will grant your summons a certain attribute boost.<br><br>[Chaos Strike] The attack of the summon can trigger a critical strike, causing 120-220%% damage, with a built-in 3 second cooldown.<br><br>[Response with blood, response with fire] The attack of the summon has a 7%% chance to cause physical damage equal to 10%% of the summon’s current health to the target."

"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Lore"	"What has been created, at times, must be destroyed. What is desrroyed will rise and fall and rise again! All flailing arms, birth screams, and mother's blood."
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_bonus_damage_max"	"%Max Bonus Attack Damage:"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Vahdrak_bonus_damage_min"	"%Min Bonus Attack Damage:"


"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak"	"Primary Uldorak’s soul"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Description"	"Soul of Earth dragon will grant your summons a certain attribute boost. "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Lore"	"Slyrak the Fire dragon, Uldorak the Earth dragon, Lirrak the Water dragon and Aethrak the Air dragon, correspond to four elements, fire, earth, ice and thunder. The soul of the ancient earth dragon will grant its dependents powerful abilities."
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_damage_max"	"%Max Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_damage_min"	"%Min Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Primary_Eldwurm_soul_Uldorak_bonus_magic_res"	"%Бонус сопротивления магии:"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak"	"Middle Uldorak’s soul"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Description"	"Soul of Earth dragon will grant your summons a certain attribute boost. <br><br> [Awakening] Pain will awaken the defense of the summons, and each time the summons takes 10%% of their maximum health damage, they can get 1 point bonus armor and 0.5%% Magic resistance boost (up to 20 times)"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Lore"	"We are ready to face death, and after death, we will respawn on earth and rise in the new life."
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Middle_Eldwurm_soul_Uldorak_bonus_magic_res"	"%Бонус сопротивления магии:"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak"	"Advanced Uldorak’s soul"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Description"	"Soul of Earth dragon will grant your summons a certain attribute boost. <br><br> [Awakening] Pain will awaken the defense of the summons, and each time the summons takes 10%% of their maximum health damage, they can get 1 point bonus armor and 0.5%% Magic resistance boost (up to 20 times)<br><br>[Timelock] When the summons receive more than 50 damage, there is a 10%% chance to record the current health value, and health will not be lower than 70%% of this value for the next 5 seconds. (Will not trigger again if status is active)"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Lore"	"Uldorak is both the dragon of the earth and of time, who can freely manipulate time."
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_Note0"	"Доп. инфа:<br>Add a status to the summoned after its appearance. "
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Advanced_Eldwurm_soul_Uldorak_bonus_magic_res"	"%Бонус сопротивления магии:"




"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest"	"Primary  Summon Ward · Aghanim the Wisest"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Description"	"Summons the wise genius, who will buff nearby allied heroes."
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Lore"	"Everyone is saying that this little guy is smart or wise, he is really happy."
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_Note0"	"<br>Доп. инфа:<br>attack damage of the genius is stepped wise, 70%% if the value over 200, 50%% if the value over 300, 10%% if and the value over 500. <br>The buffs provided by different smarts can be stacked.<br>Attribute inheritance type:<br>Maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain."
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_armor"	"%Inheritance of Armor:"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%Attack Damage conversion Bonus Spell Damage:"
"DOTA_Tooltip_ability_Primary_summons_ward_Aghanim_the_Wisest_radius"	"Effect Радиус:"

"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest"	"Middle  Summon Ward · Aghanim the Wisest"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Description"	"Summons the wise genius, who will buff nearby allied heroes.<br><br>[Wisdom] restores mana of all allies in AOE equal to 25%% of their attack damage every 0.5 seconds."
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Lore"	"Genius' intelligence grants recovery to his allies. "
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_Note0"	"<br>Доп. инфа:<br>attack damage of the genius is stepped wise, 70%% if the value over 200, 50%% if the value over 300, 10%% if and the value over 500. <br>The buffs provided by different smarts can be stacked.<br>Attribute inheritance type:<br>Maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain."
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%Attack Damage conversion Bonus Spell Damage:"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Middle_summons_ward_Aghanim_the_Wisest_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest"	"Advanced  Summon Ward · Aghanim the Wisest"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Description"	"Summons the wise genius, who will buff nearby allied heroes.<br><br>[Wisdom] restores mana of all allies in AOE equal to 25%% of their attack damage every 0.5 seconds.<br><br> [ Genius casting Blessing] Provides an additional 10%% Positive and Negative Status Duration gain."
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Lore"	"Only the smartest can understand when is the most important moment to step in. "
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_Note0"	"<br>Доп. инфа:<br>attack damage of the genius is stepped wise, 70%% if the value over 200, 50%% if the value over 300, 10%% if and the value over 500. <br>The buffs provided by different smarts can be stacked.<br>Attribute inheritance type:<br>Maternal inheritance. <br>This type of bonus inheritance comes from the attributes of the caster.<br>Affected by summon Strength and Summon Time gain.."
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_damage"	"%Inheritance of Attack Damage:"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_health"	"%Наследует здоровья:"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_bonus_spell_damage_index"	"%Attack Damage conversion Bonus Spell Damage:"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Advanced_summons_ward_Aghanim_the_Wisest_duration"	"Life Duration:"


"DOTA_Tooltip_ability_Primary_Rot"	"Primary Rotten"
"DOTA_Tooltip_ability_Primary_Rot_Description"	"Creates a poisonous cloud, dealing continuous damage and slowing enemies --- damage based on maximum health of yourself."
"DOTA_Tooltip_ability_Primary_Rot_Lore"	"The noxious fumes emanating from the rotting, swollen flesh of the corpse was suffocating. "
"DOTA_Tooltip_ability_Primary_Rot_Note0"	"Доп. инфа:<br>Damage to oneself is not lethal, and is not affected by skill enhancements."
"DOTA_Tooltip_ability_Primary_Rot_bonus_damage"	"%Damage: Health * "
"DOTA_Tooltip_ability_Primary_Rot_bonus_health"	"%Наследует здоровья:"

"DOTA_Tooltip_ability_Primary_Rot_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Primary_Rot_duration"	"Life Duration:"
"DOTA_Tooltip_ability_Primary_Rot_move_slow"	"Замедленние движения:"
"DOTA_Tooltip_ability_Middle_Rot"	"Middle Rotten"
"DOTA_Tooltip_ability_Middle_Rot_Description"	"Creates a poisonous cloud, dealing continuous damage and slowing enemies --- damage based on maximum health of yourself.<br><br>[Lethal Breath] increase AOE by 150 points."
"DOTA_Tooltip_ability_Middle_Rot_Lore"	"The vicious smell travels farther with the wind."
"DOTA_Tooltip_ability_Middle_Rot_Note0"	"Доп. инфа:<br>Damage to oneself is not lethal, and is not affected by skill enhancements."
"DOTA_Tooltip_ability_Middle_Rot_bonus_damage"	"%Damage: Health * "
"DOTA_Tooltip_ability_Middle_Rot_move_slow"	"Замедленние движения:"
"DOTA_Tooltip_ability_Middle_Rot_radius"	"Effect Радиус:"
"DOTA_Tooltip_ability_Advanced_Rot"	"Advanced Rotten"
"DOTA_Tooltip_ability_Advanced_Rot_Description"	"Creates a poisonous cloud, dealing continuous damage and slowing enemies --- damage based on maximum health of yourself.<br><br>[Lethal Breath] increase AOE by 150 points.<br><br> [Corpse Bomber] Monsters affected by rotten effect will explode once upon death, dealing magic damage equal to 10%% of the caster's health to enemy units within a 150 radius."
"DOTA_Tooltip_ability_Advanced_Rot_Lore"	"Swelling, pus, putrefaction"
"DOTA_Tooltip_ability_Advanced_Rot_Note0"	"Доп. инфа:<br>Damage to oneself is not lethal, and is not affected by skill enhancements."
"DOTA_Tooltip_ability_Advanced_Rot_bonus_damage"	"%Damage: Health * "
"DOTA_Tooltip_ability_Advanced_Rot_move_slow"	"Замедленние движения:"
"DOTA_Tooltip_ability_Advanced_Rot_radius"	"Effect Радиус:"

"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger"	"Primary grudge dagger"
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_Description"	"Your attacks will cause your enemies to bleed, and each attack will increase the wounds of the enemy until they bleed to death."
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_Lore"	"Your attacks will cause your enemies to bleed, and each attack will increase the wounds of the enemy until they bleed to death."

"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_bonus_damage_max"	"%Max Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_bonus_damage_min"	"%Min Bonus Attack Damage:"
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_basic_damage"	"Damage per second: stack * "
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_bonus_damage"	"Bonus damage per second: stack * Main Attributes * "
"DOTA_Tooltip_ability_Primary_Blood_grudge_Dagger_duration"	"Duration:"
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger"	"Middle grudge dagger"
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger_Description"	"Your attacks will cause your enemies to bleed, and each attack will increase the wounds of the enemy until they bleed to death.<br><br> [ Blood Bath] Accumulate all bleeding damage dealt to the target and deal 40%% of the cumulative bleeding damage to units in 300 radius after the status is cleared.<br>"
"DOTA_Tooltip_ability_Middle_Blood_grudge_Dagger_Lore"	"In the process of continuous bloodletting, the fangs will absorb the essence of the blood, but being unable to store result in energy bursting at the moment of death."
