


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage"	"Momentary Blink"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_visage_Description"	"Visage consumes the souls of units that perish within %radius% of him, gaining %bonus_attack% attack damage per soul and %max% all game, capping at %turn_max% souls absorbed per round.<br><br>Upon amassing %line1% souls, he gains an extra %bonus_attack_speed% attack speed.<br><br>At the threshold of %line2% souls absorbed, his attack range increases by %bonus_attack_range%.<br><br>When he has absorbed %line3% souls, his initial strike on a target inflicts extra %maxhp_damage%%% of their maximum health as Pure damage."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_visage_Lore"	"He embodies the underworld, he is death itself—Visage's gaze harvests souls from the shadows."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage_aura"	"Soul Absorption"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_visage_aura_Description"    "Increases attack damage"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lion"	"Mana Drain"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lion_Description"	"When your current mana falls below %mana_line_self%% , you can enable autocast: Absorb mana from the nearest allied unit within a %radius% radius at a rate of %speed_int_index% points per second based on your Intelligence. The target loses half of the mana absorbed, until their mana drops below %mana_line_ally% points."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lion_Lore"	"Lesser magi are nothing more than a source of magical restoration for the Demon Witch."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ogre_magi"	"Double Casting"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ogre_magi_Description"	"When casting a refreshable skill, there is a %chance%%  chance to refresh the cooldown of this spell."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ogre_magi_Lore"	"Despite being largely incapacitated by his IQ, the Ogre Magi's success in battle is attributed to pure skill."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enchantress"	"Friendship price"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enchantress_Description"	"Reduce skill upgrade/upgrade cost by 20%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_enchantress_Lore"	"everyone loves me. "

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_furion"	"Tranquil"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_furion_Description"	"Increase Hp regeneration from all effects of all allies by %hp_regen_up%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_furion_Lore"	"Emerald green covers your head."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_primal_beast"	"Trample"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_primal_beast_Description"	"Primal Beast stomps over everything but cant attack. For every 140.0 units traveled, all enemies 400 range around the Beast receive damage. Deals 30%% multiplier of Primal Beast's attack damage. (Change auto cast status to on/off)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_primal_beast_Lore"	"As the only member of his species to arrive on this world, locals can only speculate on the Beast's size relative to his kin. Such observation would prove easier of course if the subject didn't eat everything it sees and destroy most of what it doesn't."

"Dota_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_4" "Tiger Talisman of Storm's Wrath"
"Dota_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_4_Description" "Master of countless tempests, Storm Spirit causes his [Summon wind element] to inherit an additional %bonus_damage% of his full attack damage.<br><br>Upon cooldown completion, replaces [Summon wind element] in %CD_index% multiple cooldown duration."
"Dota_Tooltip_ability_heroTalent_npc_dota_hero_storm_spirit_4_Lore" "If a storm can fell great trees, then a storm of them can lay waste to the jungle."
"Dota_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king_3" "Battling Artistry"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king_3_Description" "Sun Wukong's mastery in battle enhances his attack range by %bonus_attack_range%. When autocast is enabled, the attack range bonus is lost, but his attack interval becomes %base_attack_time% seconds and he gains an additional %bonus_agi_lvl% agility growth per level.\n[Battle Momentum]: After attacking %attack_need% times, gain %attack_index%% full attack damage, %attack_index%% damage increase, and %Diff_effciency%% cleave effect within a radius of %cleave_radius% for %duration% seconds or until the next attack."
"Dota_Tooltip_ability_heroTalent_npc_dota_hero_monkey_king_3_Lore" "Having braved eighty-one tribulations, the original intent remains unyielding."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker_2" "Imaginary Submerged Navigation"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker_2_Description" "Spirit Breaker has NO unit collision and NO movement speed limit, gaining 1 stack of [Imaginary Submerged Navigation] every %move_need% yards traveled, lasting %stacks_duration% seconds, stacking up to %max_stacks% layers.\n[Imaginary Submerged Navigation]: Grants %vision%% increased vision range and %bonus_move% bonus movement speed per layer. The next attack gains a split effect with a radius of (%bonus_range% * number of stacks), dealing (%bonus_range_damage%% * number of stacks) damage, followed by (%bonus_cri%% * number of stacks) critical damage, transitioning into the [Real Number Manifestation] state.<br><br>- Enters stealth for %inv_duration% seconds per second when stack count exceeds %mid_stacks%.\n[Real Number Manifestation]: Grants magic immunity, 100% status resistance, and invulnerability to damage while being stunned, lasting up to (%bonus_stun_duration% * [Imaginary Submerged Navigation] stacks) seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker_2_Lore" "Spirit Breaker navigates between the realms of real and imaginary numbers, unleashing devastation through a dimension-shifting strike."

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_spirit_breaker_2_imag" "Imaginary Submerged Navigation" 
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_spirit_breaker_2_imag_Description" "Increased movement speed, accumulating power" 
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_spirit_breaker_2_qed" "Real Number Manifestation" 
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_spirit_breaker_2_qed_Description" "Freshly emerged from the imaginary dimension, currently buffering"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_muerta"	"Gun Slinger"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_muerta_Description"	"Muerta's projectile speed increases to %pro_speed% points. When attacking, there is a %chance%% chance to attack an additional target within self attack range + %radius% radius around the primary target and within a 60° angle ahead of herself.\nIf no other units are present, the same target is attacked."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_muerta_Lore"	"Muerta will give her kindness to all her targets. Some of them will be blessed with good luck."


"DOTA_HUD_TelentSelectTitle"  "Hero Talent Selection"
