"HUD_player_artifact_Title" "圣物：<font color=\"#6de2c5\">{s:ability_owner}</font>"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_main_ability"	"你的<font color='#9370db'>精灵召唤</font>召唤兽在攻击时，有%chance%%%几率对目标发动一次冰球，造成召唤兽全额攻击力x%damage%点冰属性魔法伤害，同个召唤兽每%cd%秒至多触发一次。"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_Lore"	"与人类不同，精灵的眼泪通常不代表悲伤，而是赐福"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_bonus_summon_intensity"	"%+$summon_intensity"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_1"	"【精灵强化】你的<font color='#9370db'>精灵召唤</font>召唤兽造成的伤害总增%outgoing_1%%% [×]"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_2"	"【精灵王】<font color='#9370db'>精灵召唤</font>有%chance_2%%%几率召唤出精灵王单位，其%radius_2%范围内每存在一个<font color='#9370db'>精灵召唤</font>召唤兽，攻击力就会增加%attack_each_2%%% [+]，至多增加%attack_max_2%%%"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_3"	"【凝重冰泪】<font color='#9370db'>冰泪</font>会对敌人施加%stun_3%秒眩晕，同时提高召唤兽%attack_speed_3%点攻击速度，持续%duration_3%秒，不可叠加"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_4"	"【元素精灵亲和】此圣物的装备需求等级减少%additional_4_level_require%，<font color='#9370db'>冰泪</font>还会追加一次<font color='#9370db'>炎爆</font>，造成召唤兽全额攻击力x%damage_4%点火属性魔法伤害"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_7" "【赫芙，匠之祝福】你的<font color='#9370db'>精灵召唤</font>召唤兽在前%duration_7%秒内不会受到伤害，期间其造成伤害增加%outgoing_7%%% [+]"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_additional_10" "【精灵结晶】召唤强度+%summon_amp_10%%%。<font color='#9370db'>冰泪/炎爆</font>伤害总增%damage_10%%%并造成纯粹伤害 [×]"

"DOTA_Tooltip_modifier_item_hd_spirit_nami_effects_lv20"	"精灵王"
"DOTA_Tooltip_modifier_item_hd_spirit_nami_effects_lv20_Description"	"周围的精灵会使自身攻击力提高"
"DOTA_Tooltip_modifier_item_hd_spirit_nami_effects_lv30"	"凝重冰泪"
"DOTA_Tooltip_modifier_item_hd_spirit_nami_effects_lv30_Description"	"攻击速度提高"

"DOTA_Tooltip_ability_item_hd_element_heart_effects"	"元素之心"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_main_ability_title"	"被动：元素冲击"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_main_ability"	"每过%cd%秒，你的下一次属性伤害会总增%outgoing%%% [×]并获得%count%层<font color='#9370db'>聚合</font>，<font color='#9370db'>聚合</font>层数达到%line%层时使你进入<font color='#9370db'>元素过载</font>状态，持续%duration%秒。<br><br>元素过载：造成的属性伤害总增%outgoing%%% [×]，并以%interval%秒的间隔对%radius%范围内最近的敌人释放元素冲击，造成主属性×%damage%的魔法伤害，这个伤害被视为全部属性。"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_Lore"	"发掘于古文明遗迹——瓦泰斯神殿的深处，即使经过了千年岁月，这件神器仍然散发出强大的魔力。"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_bonus_spell_amp"	"%+$spell_amp"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_additional_1"	"【咏唱强化】被动获得%spell_1%%%技能增强，<font color='#9370db'>元素冲击</font>以额外一个敌人为目标"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_additional_2"	"【升腾】<font color='#9370db'>元素冲击</font>有%chance_2%%%几率使你的<font color='#9370db'>元素过载</font>延长%duration_2%秒并回复你%mpregen_2%%%已损失魔法值，这个效果每%cd_2%秒至多成功触发一次"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_additional_3"	"【元素激化】<font color='#9370db'>元素冲击</font>的伤害提高至主属性×%damage_3%，<font color='#9370db'>元素过载</font>还会使你获得%cast_speed_3%%%施法速度和%cd_3%%%冷却缩减"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_additional_4"	"【首席升腾先驱】<font color='#9370db'>升腾</font>的触发几率提高至%chance_4%%%。进入<font color='#9370db'>元素过载</font>状态时，立刻对%radius_4%范围内至多%max_4%个敌人释放<font color='#9370db'>元素冲击</font>"
"DOTA_Tooltip_ability_item_hd_element_heart_effects_additional_7"   "【元素集中】<font color='#9370db'>元素冲击</font>的伤害提高至主属性×%damage_7%"
"DOTA_Tooltip_modifier_item_hd_element_heart_effects_count"	"聚合"
"DOTA_Tooltip_modifier_item_hd_element_heart_effects_active"	"元素过载"
"DOTA_Tooltip_modifier_item_hd_element_heart_effects_active_Description"	"造成的属性伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%，每%dMODIFIER_PROPERTY_TOOLTIP%秒对最近的敌人发动元素冲击"

"DOTA_Tooltip_ability_item_hd_autumn_staff"	"盛秋之梦法杖"
"DOTA_Tooltip_ability_item_hd_autumn_staff_main_ability_title"	"被动：秋之赐福"
"DOTA_Tooltip_ability_item_hd_autumn_staff_main_ability"	"你治疗其他友军英雄时有%chance%%%几率对其施加祝福，使其造成的伤害增加%outgoing%%% [+]，持续%duration%秒，对同一目标有%cd%秒冷却时间。"
"DOTA_Tooltip_ability_item_hd_autumn_staff_Lore"	"欢迎来到幻影之森，眼前所见即使是绘本也所属真实。"
"DOTA_Tooltip_ability_item_hd_autumn_staff_cooldown_reduction"	"%+$cooldown_reduction"
"DOTA_Tooltip_ability_item_hd_autumn_staff_additional_1"	"【盛秋】仅<font color='#ffa075'>增辉者</font>：触发<font color='#9370db'>秋之赐福</font>时也会对自身施加，对自身施加时额外提供%outgoing_1%%%伤害增加 [+]且不进入冷却时间"
"DOTA_Tooltip_ability_item_hd_autumn_staff_additional_2"	"【晨之云雀】<font color='#9370db'>秋之赐福</font>的前%time_2%秒内会额外提供%attack_speed_2%%%攻击速度和%cooldown_2%%%冷却缩减"
"DOTA_Tooltip_ability_item_hd_autumn_staff_additional_3"	"【夜之帷幕】<font color='#9370db'>秋之赐福</font>现在还会提供%profic_3%%%精通，且在消失时有%chance_3%%%几率被重新施加，这个效果无视冷却"
"DOTA_Tooltip_ability_item_hd_autumn_staff_additional_4"	"【彼端一梦】<font color='#9370db'>秋之赐福</font>现在有%chance_4%%%几率同时对所有友军英雄施加，同时其对同一目标的冷却时间减少至%cd_4%秒"
"DOTA_Tooltip_ability_item_hd_autumn_staff_additional_7"	"【永恒梦境】<font color='#9370db'>秋之赐福</font>的持续时间提高至%duration_7%秒，对同一目标的冷却时间减少至%cd_7%秒，<font color='#9370db'>晨之云雀</font>的生效时间延长至前%time_7%秒"
"DOTA_Tooltip_modifier_item_hd_autumn_staff_cd"	"秋之赐福冷却"
"DOTA_Tooltip_modifier_item_hd_autumn_staff_cd_Description"	"最近从秋之赐福中获益，正在冷却中"
"DOTA_Tooltip_modifier_item_hd_autumn_staff_buff"	"秋之赐福"
"DOTA_Tooltip_modifier_item_hd_autumn_staff_buff_Description"	"造成的伤害提高%dMODIFIER_PROPERTY_TOOLTIP%%%<br>获得%dMODIFIER_PROPERTY_TOOLTIP%%%攻击速度<br>获得%dMODIFIER_PROPERTY_TOOLTIP%%%冷却缩减<br>获得%dMODIFIER_PROPERTY_TOOLTIP%%%精通"

"DOTA_Tooltip_ability_item_hd_atb_earing_effects"	"均衡之星耳环"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_main_ability_title"	"被动：全能之星"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_main_ability"	"获得%incoming%%%伤害减免，并获得等同%bonus_atb%%%基础力量的敏捷、%bonus_atb%%%基础敏捷的智力和%bonus_atb%%%基础智力的力量。"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_Lore"	"盲目的愤怒引起纷争，狡诈的谎言让战火停歇；无知的莽撞造成仇恨，而无尽黑暗将吞噬一切。"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_all"	"+$all"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_additional_1"	"【辉煌】额外提供%atb_1%点全属性"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_additional_2"	"【退行全能】额外提供英雄等级x%level_atb_2%点全属性"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_additional_3"	"【扬升全能】此圣物的装备需求等级减少%additional_3_level_require%级，同时每%interval_3%秒永久成长自身%random_atb_3%点随机属性"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_additional_4"	"【恒星均衡】<font color='#9370db'>扬升全能</font>有%chance_4%%%几率变为成长自身全属性。同时每%atb_lowest_4%点你最低的属性会使你造成的伤害增加%outgoing_4%%% [+]，至多达到%outgoing_max_4%%%。当多个属性为最低时，此效果仅生效一次"
"DOTA_Tooltip_ability_item_hd_atb_earing_effects_additional_7"  "【恒星均衡+】<font color='#9370db'>扬升全能</font>成长自身全属性的几率提高至%chance_7%%%"
"DOTA_Tooltip_modifier_item_hd_atb_earing_effects_lv30"	"扬升全能"
"DOTA_Tooltip_modifier_item_hd_atb_earing_effects_lv30_Description"	"力量增加%dMODIFIER_PROPERTY_TOOLTIP%点<br>敏捷增加%dMODIFIER_PROPERTY_TOOLTIP%点<br>智力增加%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_modifier_item_hd_atb_earing_effects"	"恒星均衡"
"DOTA_Tooltip_modifier_item_hd_atb_earing_effects_Description"	"造成的伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_item_hd_snow_piece_effects"	"急冻冰晶"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_main_ability_title"	"被动：急冻冷却"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_main_ability"	"释放一个冷却时间大于1秒的非切换类技能后，使一个随机的、剩余冷却时间大于%line%秒的技能的剩余冷却时间减少%cd_reduce%秒，对冰属性技能的冷却减少效果为%index%%%。<br><br>可以影响不可刷新技能，但仅有%norefresh_index%%%效果。"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_Lore"	"极致纯洁的一小片"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_manacost_reduction"	"%+$manacost_reduction"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_additional_1"	"【冰心】你学习的每个冰属性技能会提供%spell_1%%%技能增强"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_additional_2"	"【急冻冷却+】<font color='#9370db'>急冻冷却</font>作用于剩余冷却时间大于%line_2%秒的技能后，额外减少其%cd_reduce_2%%%的剩余冷却"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_additional_3"	"【联合降温】你学习的每个冰属性技能会使<font color='#9370db'>急冻冷却</font>额外减少%cd_3%秒剩余冷却时间，同时这个圣物被视为%stack_3%个冰属性技能"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_additional_4"	"【骤然寒风】每通过<font color='#9370db'>急冻冷却</font>减少累计%line_4%秒技能冷却时间后，立刻冻结自身周围%radius_4%范围内的敌人，使其在%duration_4%秒内受到的伤害增加%incoming_4%%%并无法回复生命值"
"DOTA_Tooltip_ability_item_hd_snow_piece_effects_additional_7"  "【骤然寒风+】<font color='#9370db'>急冻冷却</font>释放冻结所需累计减少冷却时间降低至%line_7%秒，且会适用自身120%%负面状态持续时间增强"
"DOTA_Tooltip_modifier_item_hd_snow_piece_effects_lv40"	"骤然寒风"
"DOTA_Tooltip_modifier_item_hd_snow_piece_effects_lv40_Description"	"无法行动，受到的伤害大幅增加"

"DOTA_Tooltip_ability_item_hd_sea_freedom_effects"	"海之自由"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_main_ability_title"	"被动：水流鞭"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_main_ability"	"普通攻击命中时，对自身周围%radius%范围内最近的一名敌人发射水流，对其造成一次%index%%%伤害且<font color='#F0FFFF'>[不附带法球、攻击特效；不附带分裂、溅射]</font>的奖励攻击。<br><br><font color='#cd5c5c'>攻击速度降低%attack_speed%%%。</font>"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_Lore"	"即使天堂崩坠.."
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_bonus_full_damage"	"%+$full_damage"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_additional_1"	"【水流环】<font color='#9370db'>水流鞭</font>击杀敌人时，使自身受到的伤害降低%incoming_1%%%，持续%duration_1%秒"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_additional_2"	"【汇聚】<font color='#9370db'>水流鞭</font>无可用目标时，使自身的攻击伤害总增%outgoing_2%%% [×]，持续%duration_2%秒"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_additional_3"	"【水流环+】<font color='#9370db'>水流环</font>的持续时间提高至%duration_3%秒，期间<font color='#9370db'>水流鞭</font>的伤害倍率提高至%index_3%%%"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_additional_4"	"【莫比乌斯流】受到伤害的%duration_4%秒内成功攻击命中伤害来源时，回复实际受伤值的%heal_4%%%并触发<font color='#9370db'>水流环</font>。<font color='#9370db'>水流鞭</font>可以附带法球和攻击特效"
"DOTA_Tooltip_ability_item_hd_sea_freedom_effects_additional_7"  "【自由觉悟】<font color='#9370db'>水流鞭</font>索敌数量增加%count_7%个，<font color='#9370db'>汇聚</font>攻击伤害总增提高至%outgoing_7%%% [×]"
"DOTA_Tooltip_modifier_item_hd_sea_freedom_effects_lv10"	"水流环"
"DOTA_Tooltip_modifier_item_hd_sea_freedom_effects_lv10_Description"	"受到的伤害降低，水流鞭伤害强化"
"DOTA_Tooltip_modifier_item_hd_sea_freedom_effects_lv20"	"汇聚"
"DOTA_Tooltip_modifier_item_hd_sea_freedom_effects_lv20_Description"	"攻击伤害总增"

///////////////////////////////////////////////至宝品质：等级要求36//////////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_yogsword_effects"	"索托拉兹，银钥之门"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_main_ability_title"	"被动：遥远梦境"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_main_ability"	"获得已损失魔法值百分比x%lostmp_index%%%的技能增强，但每秒燃烧自身%mp_cost%%%当前魔法值。"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_Lore"	"光与影的泡沫从这面镜子中喷涌而出，于梦之狭缝中生长为剑刃之形。"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_bonus_spell_amp"	"%+$spell_amp"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_additional_1"	"【远古记忆】额外获得最大魔法值x%index_1%%%的技能增强，每秒当前魔法值燃烧量增加%mp_cost_1%%% [+]"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_additional_2"	"【泡影之梦】已损失魔法值百分比提供技能增强倍率提高至%lostmp_index_2%%%，每秒当前魔法值燃烧量增加%mp_cost_2%%% [+]"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_additional_3"	"【古言】技能伤害有%crit_chance_3%%%的几率消耗自身%crit_cost_3%%%当前魔法值，以造成%crit_damage_3%%%的暴击伤害。与法术暴击类互斥。"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_additional_4"	"【蜃幻之刃】释放自左侧起除<font color='#9370db'>急行</font>外第一个非切换、且冷却时间大于%cd_4%秒的技能时，对自身周围%radius_4%范围内最近的敌人发动一次精神冲击，移除其%hp_cut_4%%%最大生命值，每%cd_4%秒至多触发一次"
"DOTA_Tooltip_ability_item_hd_yogsword_effects_additional_7"	"【遥远梦境+】<font color='#9370db'>遥远梦境</font>会在魔法值高于50%%时取当前魔法值百分比计算"

"DOTA_Tooltip_ability_item_hd_darkcube_effects"	"克莱比尔，超阈限魔方"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_main_ability_title"	"被动：超载卫星体"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_main_ability"	"魔方环绕在你的周围，以%interval%秒的间隔对周围%radius%范围内最近的敌人随机释放<font color='#9370db'>冰刃术</font>、<font color='#9370db'>灼热射线</font>、<font color='#9370db'>闪电束</font>中的一种，不继承符石效果。"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_Lore"	"如果往魔方之谜中注入过量的魔力，然后再配置上预设的术式的话..."
"DOTA_Tooltip_ability_item_hd_darkcube_effects_bonus_cast_range"	"+$cast_range"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_additional_1"	"【术式超载】该圣物的装备需求等级减少%additional_1_level_require%级，发动间隔减少至%interval_1%秒"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_additional_2"	"【魔力聚合】佩戴者和魔方的施法距离额外增加%cast_range_2%。如果佩戴<font color='#9370db'>圣物：元素之心</font>，魔方的技能还有%chance_2%%%几率直接触发<font color='#9370db'>元素过载</font>"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_additional_3"	"【元素六方体】发动间隔减少至%interval_3%秒，且魔方释放的技能伤害被视为全部属性"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_additional_4"	"【时阈限超越】该圣物的装备需求等级减少%additional_4_level_require%级，且当英雄等级达到%level_4%后，发动的技能变为<font color='#9370db'>冰风暴</font>、<font color='#9370db'>焰击术</font>、<font color='#9370db'>连锁闪电</font>"
"DOTA_Tooltip_ability_item_hd_darkcube_effects_additional_7"    "【大魔导师的永恒神器】这件圣物不再具有英雄等级需求，但其伤害将随你的等级变化"

// "DOTA_Tooltip_ability_item_hd_darklance_effects"	"扎贡耶尔，复仇之枪"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_main_ability_title"	"<font color='#F0FFFF'>追击：黑雷迸射</font>"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_main_ability"	"以%interval%秒的间隔在身边生成一把复仇之枪（最多存在%max%把）。<br><br>当你使用'火球术'、<font color='#9370db'>龙牙突</font>、'弱智术'时，复仇之枪将向目标或施法地点发射并在到达时爆炸，对周围%radius%范围内的敌人造成主属性×%damage%的雷属性、暗属性魔法伤害。"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_Lore"	"你不会再被英普瑞斯操控..你会推翻它..然后回来崇拜我..."
// "DOTA_Tooltip_ability_item_hd_darklance_effects_bonus_cooldown_reduction"	"%+$cooldown_reduction"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_additional_1"	"【累积之愤懑】复仇之枪数量上限提高至%max_1%把，以<font color='#9370db'>闪电束</font>、'解离术'、<font color='#9370db'>现断</font>击杀敌人时，立刻生成一把复仇之枪，这个效果有%cd_1%秒的冷却时间"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_additional_2"	"【黑雷强化】复仇之枪获得额外无修正伤害，数值等于触发追击技能造成伤害的%index_2%%%，且'黑雷迸射'有%chance_2%%%几率在爆炸时立刻生成一把复仇之枪"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_additional_3"	"【爆发之疯狂】'黑雷迸射'每次追击都会使其接下来的追击伤害提高%damage_up_3%%% [+]，独立叠加持续%duration_3%秒。当你使用<font color='#9370db'>冰风暴</font>、<font color='#9370db'>连锁闪电</font>、<font color='#9370db'>月牙天冲</font>时，所有的复仇之枪都将向目标或施法地点发射"
// "DOTA_Tooltip_ability_item_hd_darklance_effects_additional_4"	"【黑雷升华】每次生成复仇之枪时，返还火球术'、<font color='#9370db'>龙牙突</font>、'弱智术'%cdback_123_4%秒剩余冷却时间。<br<br>'黑雷迸射'击杀敌人时，返还<font color='#9370db'>闪电束</font>、'解离术'、<font color='#9370db'>现断</font>%cdback_456_4%秒剩余冷却时间。"

"DOTA_Tooltip_ability_item_hd_pnxwing_effects"	"菲莱拉兹，狂火遗骨"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_main_ability_title"	"被动：狂火"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_main_ability"	"每秒损失自身%hp_cost%%%当前生命值并获得一层<font color='#9370db'>狂火</font>，每层提供%outgoing%%%伤害增加 [×]。<br><br><font color='#9370db'>狂火</font>层数达到%line%层时转为<font color='#9370db'>爆燃烈焰</font>状态，在%duration%秒内使自无法移动、生命值无法低于一点，且在状态结束时对前方释放大量火柱造成主属性×%damage%点火属性纯粹伤害，基于自身已损失的生命值百分比，这个伤害至多提升至%index_max%%%。"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_Lore"	"它的火焰变得癫狂而恐怖，即使是在死后也能熊熊燃烧。"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_bonus_outgoing_mult"	"%+$outgoing_mult"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_additional_1"	"【烈性复燃】<font color='#9370db'>狂火</font>提供的伤害增幅提高至%outgoing_1%%%，<font color='#9370db'>爆燃烈焰</font>结束后，回复自身%heal_1%%%已损失生命值"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_additional_2"	"【豪火灭却】<font color='#9370db'>爆燃烈焰</font>的基础伤害增加，数值等同于你最大生命值的%damage_hp_2%%%，自身生命值低于一半时，<font color='#9370db'>爆燃烈焰</font>还会使敌人在%duration_2%秒内被禁疗"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_additional_3"	"【暗焰之躯】受到敌人的有效伤害后，回复自身%heal_3%%%已损失生命值，但<font color='#9370db'>狂火</font>每秒损失生命值比例提高至%hp_cost_3%%%"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_additional_4"	"【狂火涅槃】这件圣物不再具有英雄等级需求，但未达使用等级时<font color='#9370db'>狂火</font>不会转为<font color='#9370db'>爆燃烈焰</font>状态而是直接消退。<br<br><font color='#9370db'>爆燃烈焰</font>会对命中的敌人附加<font color='#9370db'>燃尽</font>，每秒造成%fire_index_4%%%伤害"
"DOTA_Tooltip_ability_item_hd_pnxwing_effects_additional_7"	"【狂火涅槃+】<font color='#9370db'>燃尽</font>还会使目标受到的伤害总增%incoming_7%%%，可叠加"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects"	"狂火"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects_Description"	"造成的伤害总增"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects_fire"	"爆燃烈焰"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects_fire_Description" "无法移动，生命值无法降低到1以下"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects_fire_lv40"	"燃尽"
"DOTA_Tooltip_modifier_item_hd_pnxwing_effects_fire_lv40_Description"	"每秒受到%dMODIFIER_PROPERTY_TOOLTIP%火属性纯粹伤害"

"DOTA_Tooltip_ability_item_hd_thunder_lance_effects"	"古兰塔兰，螺旋之雷"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_main_ability_title"	"被动：古龙雷暴"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_main_ability"	"对精英单位的首次普通攻击额外造成%first_index%%%的雷属性物理伤害。<br><br>仅近战：普通攻击击杀敌人时，将击杀伤害的%index%%%作为雷属性物理伤害扩散至其附近%radius%范围内最近的至多%max%名敌人。<font color='#9370db'>古龙雷暴</font>的伤害不适用技能增强、技能暴击和伤害修正。"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_Lore"	"大古龙来袭时，罗德尔的城墙被攻破，这在历史上仅此一回，也成为后续与众古龙之间的战争导火线。"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_bonus_base_damage"	"+$base_damage"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_additional_1"	"【古龙之劲】获得全额攻击力x%index_1%%%的攻击附加伤害，仅近战：攻击时获得%incoming_1%%%伤害减免"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_additional_2"	"【滅绝的雷霆】该圣物的装备需求等级减少%additional_2_level_require%级，同时<font color='#9370db'>古龙雷暴</font>会使自身在%duration_2%秒内造成的暴击伤害增加%crit_bonus_2%%% [+]，不可叠加"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_additional_3"	"【雷爆】普通攻击造成任意致命一击时，成长自身%attack_grow_3%点攻击力和%crit_bonus_3%%%暴击伤害加成 [+]，每%interval_3%秒至多触发一次，仅近战：触发间隔减半"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_additional_4"	"【已逝的传说】该圣物的装备需求等级减少%additional_4_level_require%级，同时<font color='#9370db'>古龙雷暴</font>的扩散倍率提高至%index_4%%%，且永久降低敌人%armor_4%%%护甲和%bcrit_index_4%%%暴击伤害抗性，不可叠加"
"DOTA_Tooltip_ability_item_hd_thunder_lance_effects_additional_7"   "【雷爆+】<font color='#9370db'>雷爆</font>的基础成长冷却减少至%interval_7%秒"
"DOTA_Tooltip_modifier_item_hd_thunder_lance_effects"   "雷爆"
"DOTA_Tooltip_modifier_item_hd_thunder_lance_effects_Description"   "通过造成致命一击成长了%dMODIFIER_PROPERTY_TOOLTIP%点攻击力、%fMODIFIER_PROPERTY_TOOLTIP%%%暴击伤害加成 [+]"
"DOTA_Tooltip_modifier_item_hd_thunder_lance_effects_lv40"   "已逝的传说"
"DOTA_Tooltip_modifier_item_hd_thunder_lance_effects_lv40_Description"   "护甲和暴击伤害抗性被永久降低"

"DOTA_Tooltip_ability_item_hd_blaiddar_effects"	"布莱诺斯，暗月之誓"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_main_ability_title"	"被动：永恒忠诚"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_main_ability"	"向暗月立誓，获得等同于护甲x%armor_to_damage%的基础攻击力。<br><br>受到敌人的有效伤害后对其施加<font color='#9370db'>狼之印</font>，使其造成的伤害总降%outgoing_down%%% [×]。"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_Lore"	"当群星抵达正确的位置，这件盔甲的主人已然完成他最后的誓约。"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_bonus_armor"	"+$armor"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_additional_1"	"【守护】仅<font color='#ffa075'>守卫者</font>职能：每%interval_1%秒嘲讽自身周围%radius_1%范围内的敌人，并为自身回复%losthp_heal_1%%%已损失生命值"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_additional_2"	"【暗月意志】该圣物的装备需求等级减少%additional_2_level_require%级。受到敌人的有效伤害后，回复实际受伤值的%heal_pct_2%%%并获得%attack_speed_2%%%攻击速度和攻击力，持续%duration_2%秒"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_additional_3"	"【抗旨之决心】获得护甲x%armor_to_hp_3%点最大生命值和%incoming_3%%%伤害减免。仅<font color='#ffa075'>守卫者</font>职能：自身死亡时，使其余存活玩家造成的伤害总增%outgoing_3%%% [×]，持续%duration_3%秒"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_additional_4"	"【半狼战士的传说】该圣物的装备需求等级减少%additional_4_level_require%级。受到带有<font color='#9370db'>狼之印</font>的敌人的伤害降低%incoming_4%%%，且不会被未带有<font color='#9370db'>狼之印</font>的敌人击杀"
"DOTA_Tooltip_ability_item_hd_blaiddar_effects_additional_7"	"【永恒忠诚+】<font color='#9370db'>永恒忠诚</font>的护甲转化比提高至%armor_to_damage_7%，<font color='#9370db'>暗月意志</font>增益的持续时间提高至%duration_7%秒"
"DOTA_Tooltip_modifier_item_hd_blaiddar_effects_debuff"	"狼之印"
"DOTA_Tooltip_modifier_item_hd_blaiddar_effects_debuff_Description"	"造成的伤害降低"
"DOTA_Tooltip_modifier_item_hd_blaiddar_effects_lv30"	"抗旨之决心"
"DOTA_Tooltip_modifier_item_hd_blaiddar_effects_lv30_Description"	"造成的伤害大幅总增"
"DOTA_Tooltip_modifier_item_hd_blaiddar_effects_lv10"	"守护"
